Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,870.0,870.0,840.0,845.0,845.0,12334600
2021-03-02,845.0,860.0,840.0,840.0,840.0,6976400
2021-03-03,840.0,845.0,805.0,815.0,815.0,23359500
2021-03-04,815.0,840.0,805.0,815.0,815.0,15620000
2021-03-05,800.0,815.0,785.0,810.0,810.0,8417700
2021-03-08,810.0,835.0,810.0,825.0,825.0,8798700
2021-03-09,830.0,895.0,830.0,875.0,875.0,90083200
2021-03-10,890.0,900.0,860.0,860.0,860.0,35459700
2021-03-12,865.0,890.0,835.0,850.0,850.0,26136900
2021-03-15,845.0,890.0,845.0,880.0,880.0,33302800
2021-03-16,880.0,980.0,875.0,955.0,955.0,190210100
2021-03-17,960.0,960.0,905.0,910.0,910.0,44808000
2021-03-18,925.0,940.0,885.0,920.0,920.0,40579300
2021-03-19,925.0,955.0,910.0,915.0,915.0,28361500
2021-03-22,920.0,930.0,905.0,915.0,915.0,19191300
2021-03-23,915.0,930.0,880.0,885.0,885.0,31789100
2021-03-24,885.0,885.0,850.0,860.0,860.0,29756700
2021-03-25,850.0,895.0,820.0,890.0,890.0,35670500
2021-03-26,895.0,905.0,870.0,890.0,890.0,20890000
2021-03-29,895.0,940.0,890.0,895.0,895.0,37625300
2021-03-30,915.0,915.0,885.0,895.0,895.0,18521600
2021-03-31,895.0,900.0,855.0,880.0,880.0,21675200
2021-04-01,890.0,895.0,875.0,880.0,880.0,5693600
2021-04-05,910.0,930.0,885.0,895.0,895.0,24050400
2021-04-06,905.0,915.0,880.0,905.0,905.0,13501900
2021-04-07,905.0,965.0,900.0,930.0,930.0,49898000
2021-04-08,930.0,945.0,910.0,915.0,915.0,21098000
2021-04-09,915.0,935.0,905.0,910.0,910.0,11560500
2021-04-12,910.0,920.0,860.0,865.0,865.0,34529700
2021-04-14,880.0,885.0,860.0,870.0,870.0,11228300
