Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,262.0,262.0,256.0,262.0,262.0,109100
2021-03-02,262.0,262.0,262.0,262.0,262.0,51900
2021-03-03,268.0,270.0,258.0,260.0,260.0,156900
2021-03-04,260.0,270.0,260.0,270.0,270.0,40700
2021-03-05,274.0,278.0,258.0,276.0,276.0,179200
2021-03-08,276.0,276.0,270.0,276.0,276.0,39800
2021-03-09,276.0,276.0,264.0,264.0,264.0,51800
2021-03-10,262.0,264.0,262.0,262.0,262.0,73300
2021-03-12,268.0,268.0,262.0,264.0,264.0,128600
2021-03-15,266.0,274.0,260.0,270.0,270.0,43600
2021-03-16,278.0,280.0,270.0,270.0,270.0,36600
2021-03-17,270.0,280.0,270.0,278.0,278.0,64000
2021-03-18,278.0,282.0,270.0,282.0,282.0,66700
2021-03-19,282.0,282.0,278.0,280.0,280.0,36200
2021-03-22,282.0,282.0,274.0,278.0,278.0,48400
2021-03-23,278.0,286.0,278.0,286.0,286.0,65200
2021-03-24,282.0,282.0,268.0,280.0,280.0,224300
2021-03-25,280.0,282.0,268.0,278.0,278.0,41100
2021-03-26,280.0,280.0,278.0,278.0,278.0,25300
2021-03-29,278.0,278.0,272.0,274.0,274.0,12400
2021-03-30,270.0,284.0,268.0,284.0,284.0,32400
2021-03-31,284.0,286.0,272.0,274.0,274.0,75700
2021-04-01,274.0,284.0,274.0,284.0,284.0,9000
2021-04-05,284.0,290.0,280.0,290.0,290.0,87500
2021-04-06,290.0,290.0,280.0,280.0,280.0,30300
2021-04-07,278.0,294.0,276.0,284.0,284.0,80800
2021-04-08,284.0,300.0,284.0,292.0,292.0,36700
2021-04-09,286.0,286.0,282.0,282.0,282.0,7900
2021-04-12,282.0,288.0,278.0,288.0,288.0,83200
2021-04-14,302.0,302.0,284.0,286.0,286.0,66100
