Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,129.0,168.0,129.0,168.0,168.0,13563200
2021-03-02,180.0,226.0,168.0,169.0,169.0,34112600
2021-03-03,169.0,171.0,158.0,158.0,158.0,5117300
2021-03-04,153.0,175.0,147.0,150.0,150.0,8592800
2021-03-05,150.0,150.0,141.0,143.0,143.0,1965400
2021-03-08,144.0,149.0,143.0,147.0,147.0,625500
2021-03-09,148.0,148.0,141.0,143.0,143.0,965100
2021-03-10,143.0,148.0,138.0,142.0,142.0,413900
2021-03-12,142.0,147.0,133.0,140.0,140.0,2260300
2021-03-15,140.0,151.0,136.0,146.0,146.0,1238800
2021-03-16,146.0,197.0,141.0,158.0,158.0,129094300
2021-03-17,160.0,161.0,147.0,147.0,147.0,7514100
2021-03-18,147.0,153.0,137.0,144.0,144.0,6418300
2021-03-19,144.0,170.0,139.0,148.0,148.0,24496300
2021-03-22,149.0,155.0,144.0,145.0,145.0,2799400
2021-03-23,146.0,151.0,144.0,145.0,145.0,2053200
2021-03-24,147.0,147.0,142.0,143.0,143.0,1629400
2021-03-25,145.0,156.0,140.0,140.0,140.0,4608500
2021-03-26,145.0,150.0,140.0,147.0,147.0,1553100
2021-03-29,147.0,150.0,143.0,146.0,146.0,972000
2021-03-30,146.0,148.0,145.0,146.0,146.0,1468800
2021-03-31,145.0,148.0,137.0,142.0,142.0,3727800
2021-04-01,141.0,143.0,137.0,140.0,140.0,802200
2021-04-05,142.0,166.0,139.0,142.0,142.0,14317700
2021-04-06,142.0,145.0,138.0,139.0,139.0,3693900
2021-04-07,139.0,146.0,136.0,146.0,146.0,6523800
2021-04-08,146.0,148.0,143.0,145.0,145.0,2157900
2021-04-09,145.0,146.0,140.0,145.0,145.0,1289000
2021-04-12,145.0,148.0,140.0,142.0,142.0,3129000
2021-04-14,144.0,148.0,142.0,143.0,143.0,3917400
