Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,50.0,50.0,50.0,50.0,50.0,4900
2021-03-02,50.0,50.0,50.0,50.0,50.0,13700
2021-03-03,50.0,50.0,50.0,50.0,50.0,38000
2021-03-04,50.0,50.0,50.0,50.0,50.0,26900
2021-03-05,50.0,50.0,50.0,50.0,50.0,29200
2021-03-08,50.0,50.0,50.0,50.0,50.0,13600
2021-03-09,50.0,50.0,50.0,50.0,50.0,62500
2021-03-10,50.0,50.0,50.0,50.0,50.0,7500
2021-03-12,50.0,50.0,50.0,50.0,50.0,564100
2021-03-15,50.0,50.0,50.0,50.0,50.0,211400
2021-03-16,50.0,50.0,50.0,50.0,50.0,5900
2021-03-17,50.0,50.0,50.0,50.0,50.0,10500
2021-03-18,50.0,50.0,50.0,50.0,50.0,25600
2021-03-19,50.0,50.0,50.0,50.0,50.0,2100
2021-03-22,50.0,50.0,50.0,50.0,50.0,200
2021-03-23,50.0,50.0,50.0,50.0,50.0,2500
2021-03-24,50.0,50.0,50.0,50.0,50.0,700
2021-03-25,50.0,50.0,50.0,50.0,50.0,10000
2021-03-26,50.0,50.0,50.0,50.0,50.0,4700
2021-03-29,50.0,50.0,50.0,50.0,50.0,500
2021-03-30,50.0,50.0,50.0,50.0,50.0,30400
2021-03-31,50.0,50.0,50.0,50.0,50.0,300
2021-04-01,50.0,50.0,50.0,50.0,50.0,40000
2021-04-05,50.0,50.0,50.0,50.0,50.0,100
2021-04-06,50.0,50.0,50.0,50.0,50.0,0
2021-04-07,50.0,50.0,50.0,50.0,50.0,0
2021-04-08,50.0,50.0,50.0,50.0,50.0,800
2021-04-09,50.0,50.0,50.0,50.0,50.0,301000
2021-04-12,50.0,50.0,50.0,50.0,50.0,4400
2021-04-14,50.0,50.0,50.0,50.0,50.0,1200
