Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,224.0,224.0,198.0,200.0,200.0,3962500
2021-03-02,220.0,220.0,190.0,193.0,193.0,4319600
2021-03-03,202.0,202.0,182.0,183.0,183.0,4700000
2021-03-04,202.0,246.0,198.0,244.0,244.0,8146500
2021-03-05,260.0,300.0,228.0,228.0,228.0,5264400
2021-03-08,248.0,248.0,214.0,214.0,214.0,1272000
2021-03-09,210.0,212.0,200.0,200.0,200.0,5141900
2021-03-10,200.0,200.0,186.0,195.0,195.0,299200
2021-03-12,204.0,260.0,182.0,232.0,232.0,6325200
2021-03-15,244.0,250.0,216.0,222.0,222.0,4041900
2021-03-16,240.0,240.0,208.0,208.0,208.0,3784800
2021-03-17,220.0,220.0,195.0,198.0,198.0,3944000
2021-03-18,208.0,208.0,189.0,195.0,195.0,4081500
2021-03-19,204.0,204.0,196.0,196.0,196.0,4180700
2021-03-22,206.0,206.0,189.0,199.0,199.0,4223100
2021-03-23,208.0,208.0,195.0,199.0,199.0,4049200
2021-03-24,208.0,208.0,189.0,196.0,196.0,4045400
2021-03-25,206.0,206.0,189.0,198.0,198.0,4578000
2021-03-26,208.0,208.0,186.0,196.0,196.0,4031500
2021-03-29,196.0,200.0,187.0,192.0,192.0,4131200
2021-03-30,202.0,202.0,179.0,193.0,193.0,4349400
2021-03-31,202.0,202.0,184.0,187.0,187.0,4080800
2021-04-01,188.0,188.0,174.0,178.0,178.0,5042600
2021-04-05,188.0,188.0,166.0,168.0,168.0,4410600
2021-04-06,178.0,178.0,163.0,163.0,163.0,4606900
2021-04-07,170.0,170.0,152.0,162.0,162.0,4621000
2021-04-08,172.0,172.0,155.0,159.0,159.0,4494000
2021-04-09,169.0,169.0,156.0,164.0,164.0,4691600
2021-04-12,174.0,174.0,164.0,166.0,166.0,4789000
2021-04-14,163.0,163.0,159.0,159.0,159.0,5165700
