Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,4060.0,4230.0,4060.0,4070.0,4070.0,2141500
2021-03-02,4150.0,4260.0,4110.0,4200.0,4200.0,1608700
2021-03-03,4210.0,4440.0,4160.0,4160.0,4160.0,3417300
2021-03-04,4210.0,4260.0,4160.0,4160.0,4160.0,1575300
2021-03-05,4160.0,4250.0,4070.0,4100.0,4100.0,2080000
2021-03-08,4100.0,4230.0,4040.0,4070.0,4070.0,3820300
2021-03-09,4090.0,4230.0,4050.0,4060.0,4060.0,1508900
2021-03-10,4060.0,4300.0,4060.0,4090.0,4090.0,1208800
2021-03-12,4090.0,4360.0,4090.0,4120.0,4120.0,593900
2021-03-15,4130.0,4290.0,4090.0,4100.0,4100.0,610400
2021-03-16,4110.0,4280.0,4100.0,4270.0,4270.0,511100
2021-03-17,4270.0,4400.0,4210.0,4400.0,4400.0,608400
2021-03-18,4400.0,4700.0,4380.0,4590.0,4590.0,502100
2021-03-19,4590.0,4790.0,4590.0,4690.0,4690.0,434600
2021-03-22,4750.0,4880.0,4670.0,4670.0,4670.0,835300
2021-03-23,4670.0,4800.0,4670.0,4800.0,4800.0,526600
2021-03-24,4800.0,4800.0,4640.0,4680.0,4680.0,1000700
2021-03-25,4690.0,4800.0,4440.0,4600.0,4600.0,871800
2021-03-26,4620.0,4690.0,4560.0,4600.0,4600.0,763400
2021-03-29,4600.0,4770.0,4530.0,4560.0,4560.0,511700
2021-03-30,4600.0,4600.0,4540.0,4550.0,4550.0,595300
2021-03-31,4550.0,4590.0,4480.0,4500.0,4500.0,2000100
2021-04-01,4500.0,4690.0,4500.0,4600.0,4600.0,1206700
2021-04-05,4600.0,4640.0,4510.0,4540.0,4540.0,445900
2021-04-06,4600.0,4600.0,4510.0,4600.0,4600.0,406500
2021-04-07,4600.0,4630.0,4540.0,4600.0,4600.0,1800100
2021-04-08,4600.0,4600.0,4520.0,4540.0,4540.0,387600
2021-04-09,4600.0,4600.0,4520.0,4530.0,4530.0,483500
2021-04-12,4550.0,4600.0,4540.0,4570.0,4570.0,463300
2021-04-14,4680.0,4780.0,4630.0,4630.0,4630.0,179500
