Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,970.0,970.0,970.0,970.0,970.0,13100
2021-03-02,970.0,1000.0,970.0,1000.0,1000.0,25300
2021-03-03,1000.0,1000.0,935.0,995.0,995.0,138900
2021-03-04,970.0,970.0,970.0,970.0,970.0,600
2021-03-05,965.0,1000.0,965.0,990.0,990.0,9100
2021-03-08,1000.0,1015.0,985.0,990.0,990.0,81900
2021-03-09,1015.0,1015.0,980.0,980.0,980.0,50500
2021-03-10,980.0,1000.0,975.0,980.0,980.0,11400
2021-03-12,970.0,970.0,915.0,915.0,915.0,409000
2021-03-15,915.0,930.0,855.0,920.0,920.0,212100
2021-03-16,930.0,930.0,865.0,900.0,900.0,47900
2021-03-17,925.0,925.0,870.0,915.0,915.0,16400
2021-03-18,900.0,930.0,885.0,900.0,900.0,36000
2021-03-19,900.0,920.0,880.0,900.0,900.0,29200
2021-03-22,920.0,920.0,900.0,910.0,910.0,12600
2021-03-23,900.0,900.0,895.0,895.0,895.0,11300
2021-03-24,895.0,920.0,870.0,880.0,880.0,27900
2021-03-25,910.0,980.0,885.0,890.0,890.0,55600
2021-03-26,950.0,950.0,910.0,920.0,920.0,72500
2021-03-29,935.0,935.0,925.0,930.0,930.0,42400
2021-03-30,980.0,980.0,900.0,930.0,930.0,7100
2021-03-31,910.0,930.0,885.0,900.0,900.0,37600
2021-04-01,900.0,900.0,870.0,885.0,885.0,92000
2021-04-05,885.0,950.0,880.0,880.0,880.0,50000
2021-04-06,875.0,935.0,870.0,930.0,930.0,48600
2021-04-07,870.0,950.0,870.0,900.0,900.0,49200
2021-04-08,900.0,920.0,895.0,905.0,905.0,43300
2021-04-09,905.0,950.0,895.0,930.0,930.0,21900
2021-04-12,930.0,930.0,880.0,900.0,900.0,17600
2021-04-14,950.0,960.0,915.0,935.0,935.0,26200
