Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,276.0,280.0,272.0,274.0,274.0,85650700
2021-03-02,274.0,286.0,274.0,278.0,278.0,118144400
2021-03-03,278.0,280.0,272.0,274.0,274.0,48993400
2021-03-04,274.0,276.0,256.0,256.0,256.0,156959400
2021-03-05,254.0,264.0,248.0,258.0,258.0,107243400
2021-03-08,260.0,264.0,256.0,258.0,258.0,52414800
2021-03-09,260.0,262.0,250.0,254.0,254.0,53552400
2021-03-10,252.0,260.0,252.0,254.0,254.0,55895100
2021-03-12,254.0,262.0,254.0,262.0,262.0,85158500
2021-03-15,262.0,268.0,262.0,266.0,266.0,68906300
2021-03-16,268.0,270.0,260.0,260.0,260.0,45887300
2021-03-17,260.0,262.0,256.0,256.0,256.0,42586700
2021-03-18,258.0,266.0,256.0,260.0,260.0,59530200
2021-03-19,260.0,262.0,256.0,258.0,258.0,37440600
2021-03-22,258.0,262.0,256.0,260.0,260.0,38877300
2021-03-23,258.0,272.0,258.0,266.0,266.0,177265200
2021-03-24,266.0,268.0,256.0,258.0,258.0,74711800
2021-03-25,258.0,262.0,250.0,252.0,252.0,89577100
2021-03-26,252.0,258.0,250.0,254.0,254.0,46388200
2021-03-29,254.0,260.0,250.0,252.0,252.0,81375900
2021-03-30,254.0,254.0,244.0,246.0,246.0,63543500
2021-03-31,246.0,248.0,232.0,242.0,242.0,77525100
2021-04-01,244.0,248.0,242.0,246.0,246.0,52226200
2021-04-05,246.0,250.0,240.0,242.0,242.0,32883300
2021-04-06,244.0,250.0,240.0,244.0,244.0,61928700
2021-04-07,246.0,248.0,242.0,244.0,244.0,27685300
2021-04-08,244.0,250.0,242.0,250.0,250.0,40963400
2021-04-09,250.0,256.0,248.0,248.0,248.0,33143200
2021-04-12,248.0,252.0,242.0,242.0,242.0,24957100
2021-04-14,236.0,242.0,234.0,238.0,238.0,47517000
