Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,216.0,222.0,214.0,220.0,220.0,3002700
2021-03-02,218.0,226.0,216.0,218.0,218.0,4412300
2021-03-03,218.0,218.0,212.0,216.0,216.0,6755200
2021-03-04,216.0,216.0,206.0,210.0,210.0,7714100
2021-03-05,210.0,210.0,204.0,210.0,210.0,7296500
2021-03-08,210.0,212.0,204.0,208.0,208.0,5578100
2021-03-09,208.0,208.0,204.0,206.0,206.0,5520200
2021-03-10,208.0,208.0,200.0,202.0,202.0,7236800
2021-03-12,204.0,208.0,202.0,208.0,208.0,4318000
2021-03-15,210.0,210.0,206.0,206.0,206.0,3451400
2021-03-16,208.0,208.0,204.0,208.0,208.0,1734700
2021-03-17,208.0,208.0,204.0,208.0,208.0,1484200
2021-03-18,208.0,224.0,208.0,214.0,214.0,16750200
2021-03-19,218.0,220.0,210.0,212.0,212.0,5217400
2021-03-22,214.0,220.0,210.0,216.0,216.0,7229500
2021-03-23,218.0,228.0,212.0,218.0,218.0,15601600
2021-03-24,218.0,218.0,210.0,212.0,212.0,6642000
2021-03-25,212.0,214.0,206.0,210.0,210.0,4931000
2021-03-26,210.0,214.0,206.0,208.0,208.0,4453200
2021-03-29,208.0,212.0,204.0,206.0,206.0,4343700
2021-03-30,206.0,210.0,202.0,204.0,204.0,4656700
2021-03-31,204.0,204.0,200.0,204.0,204.0,5557200
2021-04-01,204.0,206.0,200.0,202.0,202.0,4347600
2021-04-05,204.0,208.0,202.0,202.0,202.0,2236000
2021-04-06,204.0,208.0,202.0,202.0,202.0,6155600
2021-04-07,204.0,206.0,202.0,204.0,204.0,4768900
2021-04-08,204.0,204.0,202.0,202.0,202.0,5455500
2021-04-09,206.0,216.0,204.0,206.0,206.0,11136900
2021-04-12,208.0,212.0,206.0,210.0,210.0,12564800
2021-04-14,208.0,210.0,206.0,206.0,206.0,6991800
