Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,82.0,84.0,80.0,81.0,81.0,1730600
2021-03-02,81.0,88.0,81.0,83.0,83.0,3389800
2021-03-03,83.0,87.0,80.0,86.0,86.0,2744400
2021-03-04,87.0,87.0,80.0,81.0,81.0,2002900
2021-03-05,82.0,82.0,78.0,78.0,78.0,759300
2021-03-08,79.0,83.0,78.0,82.0,82.0,477100
2021-03-09,83.0,83.0,80.0,82.0,82.0,207400
2021-03-10,80.0,82.0,80.0,82.0,82.0,416200
2021-03-12,80.0,81.0,79.0,80.0,80.0,377700
2021-03-15,80.0,85.0,79.0,79.0,79.0,3912600
2021-03-16,80.0,82.0,78.0,79.0,79.0,594100
2021-03-17,80.0,82.0,79.0,80.0,80.0,230600
2021-03-18,80.0,81.0,79.0,80.0,80.0,204000
2021-03-19,80.0,80.0,78.0,78.0,78.0,60800
2021-03-22,78.0,82.0,78.0,82.0,82.0,513700
2021-03-23,82.0,82.0,79.0,80.0,80.0,304000
2021-03-24,80.0,80.0,76.0,79.0,79.0,491900
2021-03-25,79.0,79.0,76.0,77.0,77.0,193500
2021-03-26,78.0,80.0,76.0,79.0,79.0,257900
2021-03-29,79.0,80.0,77.0,79.0,79.0,188800
2021-03-30,79.0,79.0,78.0,79.0,79.0,54400
2021-03-31,79.0,79.0,77.0,78.0,78.0,66100
2021-04-01,78.0,78.0,74.0,75.0,75.0,288300
2021-04-05,75.0,81.0,75.0,76.0,76.0,137000
2021-04-06,76.0,79.0,75.0,78.0,78.0,214100
2021-04-07,78.0,79.0,76.0,77.0,77.0,110900
2021-04-08,77.0,80.0,77.0,78.0,78.0,148200
2021-04-09,78.0,78.0,75.0,78.0,78.0,118300
2021-04-12,78.0,78.0,75.0,78.0,78.0,66100
2021-04-14,76.0,76.0,74.0,75.0,75.0,113100
