Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,282.0,296.0,278.0,292.0,292.0,250000
2021-03-02,296.0,296.0,282.0,282.0,282.0,5400
2021-03-03,280.0,282.0,274.0,280.0,280.0,18800
2021-03-04,280.0,290.0,278.0,290.0,290.0,3800
2021-03-05,270.0,290.0,270.0,274.0,274.0,300
2021-03-08,274.0,274.0,274.0,274.0,274.0,1300
2021-03-09,274.0,274.0,274.0,274.0,274.0,100
2021-03-10,274.0,274.0,270.0,270.0,270.0,1000
2021-03-12,270.0,270.0,270.0,270.0,270.0,0
2021-03-15,260.0,260.0,254.0,254.0,254.0,129800
2021-03-16,254.0,270.0,248.0,262.0,262.0,32800
2021-03-17,262.0,262.0,260.0,262.0,262.0,5400
2021-03-18,262.0,262.0,250.0,262.0,262.0,27100
2021-03-19,254.0,254.0,254.0,254.0,254.0,100
2021-03-22,254.0,254.0,250.0,250.0,250.0,20200
2021-03-23,250.0,250.0,250.0,250.0,250.0,1500
2021-03-24,250.0,250.0,250.0,250.0,250.0,2500
2021-03-25,250.0,250.0,250.0,250.0,250.0,0
2021-03-26,250.0,250.0,250.0,250.0,250.0,0
2021-03-29,250.0,250.0,234.0,234.0,234.0,272500
2021-03-30,234.0,234.0,218.0,224.0,224.0,93300
2021-03-31,278.0,278.0,278.0,278.0,278.0,100
2021-04-01,284.0,284.0,260.0,260.0,260.0,65600
2021-04-05,260.0,260.0,242.0,242.0,242.0,65000
2021-04-06,242.0,242.0,242.0,242.0,242.0,0
2021-04-07,242.0,250.0,242.0,250.0,250.0,900
2021-04-08,250.0,250.0,244.0,244.0,244.0,10300
2021-04-09,244.0,280.0,244.0,244.0,244.0,1700
2021-04-12,244.0,244.0,244.0,244.0,244.0,12100
2021-04-14,232.0,278.0,232.0,246.0,246.0,20100
