Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,765.0,850.0,765.0,850.0,850.0,362700
2021-03-02,855.0,865.0,830.0,850.0,850.0,234300
2021-03-03,850.0,880.0,825.0,825.0,825.0,155200
2021-03-04,800.0,840.0,790.0,820.0,820.0,189500
2021-03-05,780.0,810.0,770.0,800.0,800.0,163000
2021-03-08,800.0,840.0,770.0,810.0,810.0,196600
2021-03-09,815.0,815.0,770.0,770.0,770.0,52100
2021-03-10,775.0,800.0,770.0,800.0,800.0,54000
2021-03-12,800.0,830.0,800.0,830.0,830.0,241100
2021-03-15,830.0,910.0,830.0,890.0,890.0,121200
2021-03-16,890.0,900.0,850.0,870.0,870.0,63100
2021-03-17,870.0,890.0,850.0,870.0,870.0,51100
2021-03-18,870.0,1020.0,870.0,1020.0,1020.0,248200
2021-03-19,1020.0,1020.0,1020.0,1020.0,1020.0,0
2021-03-22,1015.0,1040.0,950.0,980.0,980.0,142800
2021-03-23,980.0,1000.0,950.0,960.0,960.0,45800
2021-03-24,960.0,960.0,900.0,900.0,900.0,26800
2021-03-25,905.0,950.0,905.0,950.0,950.0,3000
2021-03-26,950.0,1020.0,950.0,1000.0,1000.0,90100
2021-03-29,1000.0,1200.0,1000.0,1075.0,1075.0,253800
2021-03-30,1075.0,1100.0,1030.0,1100.0,1100.0,73000
2021-03-31,1100.0,1100.0,1100.0,1100.0,1100.0,0
2021-04-01,1100.0,1100.0,1100.0,1100.0,1100.0,0
2021-04-05,1100.0,1100.0,1100.0,1100.0,1100.0,0
2021-04-06,1100.0,1100.0,1100.0,1100.0,1100.0,0
2021-04-07,1100.0,1100.0,1100.0,1100.0,1100.0,0
2021-04-08,1050.0,1085.0,1040.0,1085.0,1085.0,41500
2021-04-09,1100.0,1100.0,1030.0,1080.0,1080.0,38100
2021-04-12,1080.0,1150.0,1050.0,1075.0,1075.0,33700
2021-04-14,1080.0,1110.0,1070.0,1090.0,1090.0,30100
