Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,348.0,350.0,334.0,344.0,344.0,130000
2021-03-02,344.0,348.0,344.0,346.0,346.0,59500
2021-03-03,344.0,348.0,344.0,346.0,346.0,33100
2021-03-04,346.0,348.0,346.0,348.0,348.0,215700
2021-03-05,348.0,348.0,326.0,338.0,338.0,559000
2021-03-08,346.0,348.0,340.0,340.0,340.0,39300
2021-03-09,342.0,346.0,340.0,344.0,344.0,110700
2021-03-10,344.0,348.0,340.0,346.0,346.0,68100
2021-03-12,350.0,350.0,340.0,344.0,344.0,30900
2021-03-15,346.0,346.0,344.0,346.0,346.0,73700
2021-03-16,346.0,350.0,346.0,348.0,348.0,247800
2021-03-17,348.0,348.0,346.0,346.0,346.0,222000
2021-03-18,350.0,350.0,346.0,348.0,348.0,72200
2021-03-19,348.0,348.0,344.0,344.0,344.0,104600
2021-03-22,348.0,358.0,348.0,350.0,350.0,381500
2021-03-23,358.0,358.0,348.0,352.0,352.0,154600
2021-03-24,352.0,352.0,342.0,342.0,342.0,78300
2021-03-25,350.0,356.0,344.0,348.0,348.0,135400
2021-03-26,354.0,354.0,348.0,348.0,348.0,14000
2021-03-29,348.0,352.0,340.0,344.0,344.0,220900
2021-03-30,350.0,352.0,346.0,346.0,346.0,55200
2021-03-31,346.0,346.0,338.0,338.0,338.0,198300
2021-04-01,352.0,352.0,336.0,342.0,342.0,55400
2021-04-05,350.0,366.0,342.0,366.0,366.0,2042200
2021-04-06,368.0,384.0,358.0,366.0,366.0,776600
2021-04-07,366.0,370.0,362.0,366.0,366.0,130600
2021-04-08,366.0,368.0,360.0,360.0,360.0,362800
2021-04-09,362.0,366.0,360.0,360.0,360.0,194500
2021-04-12,360.0,366.0,358.0,362.0,362.0,363500
2021-04-14,356.0,366.0,356.0,358.0,358.0,439000
