Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,248.0,250.0,246.0,248.0,248.0,42800
2021-03-02,248.0,250.0,242.0,242.0,242.0,39900
2021-03-03,242.0,242.0,238.0,238.0,238.0,29500
2021-03-04,238.0,238.0,222.0,236.0,236.0,40400
2021-03-05,236.0,236.0,232.0,234.0,234.0,79100
2021-03-08,232.0,238.0,232.0,238.0,238.0,99800
2021-03-09,238.0,238.0,234.0,236.0,236.0,56600
2021-03-10,236.0,236.0,234.0,234.0,234.0,69800
2021-03-12,234.0,234.0,230.0,234.0,234.0,60800
2021-03-15,234.0,234.0,234.0,234.0,234.0,3400
2021-03-16,234.0,238.0,230.0,230.0,230.0,21100
2021-03-17,232.0,232.0,232.0,232.0,232.0,17700
2021-03-18,232.0,232.0,232.0,232.0,232.0,0
2021-03-19,232.0,238.0,232.0,232.0,232.0,51900
2021-03-22,232.0,234.0,232.0,234.0,234.0,18300
2021-03-23,234.0,258.0,234.0,256.0,256.0,27000
2021-03-24,256.0,256.0,240.0,244.0,244.0,266900
2021-03-25,238.0,246.0,230.0,240.0,240.0,33600
2021-03-26,236.0,242.0,236.0,240.0,240.0,13500
2021-03-29,248.0,248.0,234.0,234.0,234.0,86900
2021-03-30,250.0,250.0,232.0,232.0,232.0,83200
2021-03-31,232.0,238.0,230.0,230.0,230.0,314800
2021-04-01,228.0,236.0,228.0,236.0,236.0,104200
2021-04-05,234.0,234.0,230.0,234.0,234.0,17500
2021-04-06,232.0,234.0,230.0,230.0,230.0,23600
2021-04-07,232.0,246.0,232.0,232.0,232.0,3400
2021-04-08,232.0,232.0,232.0,232.0,232.0,300
2021-04-09,230.0,230.0,230.0,230.0,230.0,11200
2021-04-12,234.0,234.0,228.0,230.0,230.0,144500
2021-04-14,232.0,232.0,230.0,230.0,230.0,50800
