Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,900.0,910.0,895.0,910.0,910.0,86800
2021-03-02,915.0,920.0,910.0,920.0,920.0,56800
2021-03-03,920.0,920.0,890.0,905.0,905.0,167700
2021-03-04,905.0,920.0,900.0,910.0,910.0,93600
2021-03-05,915.0,920.0,900.0,920.0,920.0,84000
2021-03-08,920.0,930.0,880.0,915.0,915.0,77000
2021-03-09,915.0,915.0,900.0,905.0,905.0,25600
2021-03-10,900.0,915.0,900.0,915.0,915.0,76200
2021-03-12,915.0,920.0,900.0,920.0,920.0,91100
2021-03-15,925.0,975.0,920.0,955.0,955.0,206600
2021-03-16,950.0,960.0,935.0,945.0,945.0,154900
2021-03-17,960.0,960.0,945.0,950.0,950.0,52500
2021-03-18,950.0,955.0,940.0,940.0,940.0,65200
2021-03-19,940.0,950.0,935.0,940.0,940.0,28400
2021-03-22,945.0,950.0,935.0,945.0,945.0,106300
2021-03-23,945.0,985.0,945.0,980.0,980.0,373500
2021-03-24,980.0,1090.0,980.0,1080.0,1080.0,1110900
2021-03-25,1080.0,1130.0,1060.0,1060.0,1060.0,623200
2021-03-26,1055.0,1085.0,1025.0,1075.0,1075.0,210000
2021-03-29,1075.0,1115.0,1050.0,1050.0,1050.0,313200
2021-03-30,1050.0,1100.0,1050.0,1070.0,1070.0,101300
2021-03-31,1070.0,1095.0,1030.0,1070.0,1070.0,65400
2021-04-01,1065.0,1070.0,1050.0,1055.0,1055.0,71500
2021-04-05,1060.0,1060.0,1010.0,1035.0,1035.0,120200
2021-04-06,1030.0,1050.0,1005.0,1040.0,1040.0,90700
2021-04-07,1040.0,1080.0,1035.0,1050.0,1050.0,93700
2021-04-08,1055.0,1090.0,1015.0,1075.0,1075.0,128700
2021-04-09,1075.0,1075.0,1060.0,1065.0,1065.0,89700
2021-04-12,1065.0,1095.0,1055.0,1055.0,1055.0,48900
2021-04-14,1045.0,1065.0,1020.0,1055.0,1055.0,71600
