Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,6150.0,6175.0,5950.0,6075.0,6075.0,10044400
2021-03-02,6050.0,6075.0,5825.0,5875.0,5875.0,27009500
2021-03-03,5875.0,5950.0,5800.0,5925.0,5925.0,14076000
2021-03-04,5600.0,5625.0,5525.0,5525.0,5525.0,47709400
2021-03-05,5150.0,5400.0,5150.0,5150.0,5150.0,101200300
2021-03-08,5200.0,5275.0,4800.0,4830.0,4830.0,77938000
2021-03-09,4800.0,4810.0,4510.0,4550.0,4550.0,113826500
2021-03-10,4580.0,4640.0,4460.0,4530.0,4530.0,48612700
2021-03-12,4620.0,4820.0,4580.0,4640.0,4640.0,104333100
2021-03-15,4640.0,4740.0,4530.0,4710.0,4710.0,51202800
2021-03-16,4750.0,4770.0,4480.0,4560.0,4560.0,47029800
2021-03-17,4510.0,4580.0,4470.0,4510.0,4510.0,37586500
2021-03-18,4590.0,4640.0,4560.0,4590.0,4590.0,30447400
2021-03-19,4560.0,4570.0,4480.0,4500.0,4500.0,38380200
2021-03-22,4550.0,4580.0,4500.0,4520.0,4520.0,22481100
2021-03-23,4540.0,4560.0,4460.0,4500.0,4500.0,25548500
2021-03-24,4450.0,4460.0,4280.0,4300.0,4300.0,36680000
2021-03-25,4320.0,4430.0,4270.0,4360.0,4360.0,24187900
2021-03-26,4410.0,4690.0,4380.0,4680.0,4680.0,80072600
2021-03-29,4700.0,4720.0,4510.0,4540.0,4540.0,38826000
2021-03-30,4580.0,4600.0,4480.0,4500.0,4500.0,17162200
2021-03-31,4450.0,4460.0,4340.0,4380.0,4380.0,17867700
2021-04-01,4480.0,4500.0,4380.0,4480.0,4480.0,14830000
2021-04-05,4540.0,4550.0,4390.0,4430.0,4430.0,12044500
2021-04-06,4480.0,4680.0,4460.0,4660.0,4660.0,32268500
2021-04-07,4700.0,4730.0,4620.0,4680.0,4680.0,19824800
2021-04-08,4710.0,4840.0,4660.0,4820.0,4820.0,29419700
2021-04-09,4820.0,4830.0,4620.0,4620.0,4620.0,18607800
2021-04-12,4590.0,4590.0,4420.0,4460.0,4460.0,11530300
2021-04-14,4370.0,4450.0,4370.0,4430.0,4430.0,11222700
