Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,1885.0,1885.0,1865.0,1870.0,1870.0,15500
2021-03-02,1885.0,1885.0,1870.0,1870.0,1870.0,11800
2021-03-03,1870.0,1870.0,1870.0,1870.0,1870.0,800
2021-03-04,1870.0,1885.0,1870.0,1885.0,1885.0,1300
2021-03-05,1885.0,1885.0,1870.0,1875.0,1875.0,5200
2021-03-08,1880.0,1880.0,1880.0,1880.0,1880.0,100
2021-03-09,1870.0,1895.0,1870.0,1885.0,1885.0,2500
2021-03-10,1885.0,1890.0,1880.0,1890.0,1890.0,1000
2021-03-12,1875.0,1885.0,1870.0,1870.0,1870.0,2500
2021-03-15,1875.0,1895.0,1870.0,1875.0,1875.0,1800
2021-03-16,1875.0,1875.0,1870.0,1870.0,1870.0,7000
2021-03-17,1870.0,1870.0,1870.0,1870.0,1870.0,1000
2021-03-18,1875.0,1875.0,1870.0,1870.0,1870.0,6500
2021-03-19,1870.0,1880.0,1870.0,1880.0,1880.0,5800
2021-03-22,1880.0,1880.0,1875.0,1875.0,1875.0,2900
2021-03-23,1885.0,1885.0,1885.0,1885.0,1885.0,1500
2021-03-24,1880.0,1880.0,1870.0,1870.0,1870.0,5600
2021-03-25,1875.0,1875.0,1870.0,1870.0,1870.0,1000
2021-03-26,1875.0,1875.0,1865.0,1865.0,1865.0,23900
2021-03-29,1875.0,1875.0,1875.0,1875.0,1875.0,500
2021-03-30,1875.0,1875.0,1860.0,1860.0,1860.0,1500
2021-03-31,1875.0,1875.0,1870.0,1870.0,1870.0,400
2021-04-01,1865.0,1865.0,1805.0,1825.0,1825.0,66800
2021-04-05,1860.0,1890.0,1830.0,1870.0,1870.0,1000
2021-04-06,1855.0,1870.0,1850.0,1865.0,1865.0,2000
2021-04-07,1865.0,1865.0,1860.0,1865.0,1865.0,1600
2021-04-08,1855.0,1855.0,1855.0,1855.0,1855.0,1300
2021-04-09,1850.0,1865.0,1850.0,1860.0,1860.0,1800
2021-04-12,1850.0,1860.0,1850.0,1860.0,1860.0,22800
2021-04-14,1865.0,1870.0,1850.0,1850.0,1850.0,6000
