Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,109.0,109.0,105.0,105.0,105.0,1000
2021-03-02,105.0,105.0,98.0,105.0,105.0,1400
2021-03-03,105.0,108.0,105.0,108.0,108.0,2400
2021-03-04,108.0,108.0,108.0,108.0,108.0,1500
2021-03-05,111.0,112.0,111.0,112.0,112.0,2000
2021-03-08,105.0,106.0,105.0,106.0,106.0,30100
2021-03-09,106.0,113.0,104.0,104.0,104.0,50400
2021-03-10,104.0,104.0,103.0,104.0,104.0,17200
2021-03-12,104.0,113.0,104.0,110.0,110.0,20100
2021-03-15,109.0,109.0,103.0,108.0,108.0,35000
2021-03-16,108.0,108.0,108.0,108.0,108.0,0
2021-03-17,108.0,108.0,108.0,108.0,108.0,0
2021-03-18,108.0,108.0,108.0,108.0,108.0,0
2021-03-19,108.0,108.0,108.0,108.0,108.0,200
2021-03-22,108.0,108.0,101.0,107.0,107.0,815300
2021-03-23,106.0,106.0,105.0,105.0,105.0,300
2021-03-24,105.0,105.0,104.0,104.0,104.0,200
2021-03-25,104.0,104.0,104.0,104.0,104.0,200
2021-03-26,104.0,104.0,103.0,103.0,103.0,300
2021-03-29,102.0,102.0,102.0,102.0,102.0,500
2021-03-30,102.0,102.0,102.0,102.0,102.0,500
2021-03-31,102.0,102.0,102.0,102.0,102.0,700
2021-04-01,102.0,102.0,95.0,95.0,95.0,30400
2021-04-05,95.0,99.0,95.0,95.0,95.0,7900
2021-04-06,95.0,97.0,95.0,97.0,97.0,7800
2021-04-07,97.0,97.0,96.0,96.0,96.0,2800
2021-04-08,96.0,100.0,95.0,95.0,95.0,17500
2021-04-09,95.0,100.0,95.0,95.0,95.0,1300
2021-04-12,95.0,95.0,95.0,95.0,95.0,0
2021-04-14,95.0,100.0,95.0,96.0,96.0,1200
