Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,12700.0,13125.0,12650.0,12900.0,12900.0,3125500
2021-03-02,13150.0,13875.0,13125.0,13775.0,13775.0,7516500
2021-03-03,13850.0,13875.0,13350.0,13400.0,13400.0,2785800
2021-03-04,13375.0,13500.0,13250.0,13400.0,13400.0,4396200
2021-03-05,13100.0,13350.0,13075.0,13275.0,13275.0,2209700
2021-03-08,13300.0,13475.0,13050.0,13250.0,13250.0,1092600
2021-03-09,13500.0,13500.0,13150.0,13275.0,13275.0,3689400
2021-03-10,13475.0,13475.0,13225.0,13325.0,13325.0,3334400
2021-03-12,13375.0,13400.0,13025.0,13100.0,13100.0,3635900
2021-03-15,13125.0,13150.0,12550.0,12625.0,12625.0,7379200
2021-03-16,12625.0,12800.0,12550.0,12650.0,12650.0,7328700
2021-03-17,12650.0,12800.0,12600.0,12725.0,12725.0,4708400
2021-03-18,12750.0,13050.0,12750.0,12925.0,12925.0,3403100
2021-03-19,12925.0,13850.0,12925.0,13800.0,13800.0,10476800
2021-03-22,13800.0,13800.0,13425.0,13600.0,13600.0,1662900
2021-03-23,13400.0,13600.0,13175.0,13275.0,13275.0,2130900
2021-03-24,13150.0,13250.0,12975.0,13000.0,13000.0,1745400
2021-03-25,12975.0,13275.0,12825.0,13175.0,13175.0,2542000
2021-03-26,13250.0,13275.0,12850.0,13075.0,13075.0,2067200
2021-03-29,13075.0,13275.0,12950.0,13000.0,13000.0,2638400
2021-03-30,12700.0,12950.0,12525.0,12600.0,12600.0,3275300
2021-03-31,12525.0,12650.0,12050.0,12225.0,12225.0,6779500
2021-04-01,12225.0,12875.0,12075.0,12500.0,12500.0,2645100
2021-04-05,12500.0,12500.0,12200.0,12225.0,12225.0,886400
2021-04-06,12225.0,12350.0,12075.0,12175.0,12175.0,1663000
2021-04-07,12250.0,12400.0,12150.0,12400.0,12400.0,2929500
2021-04-08,12425.0,12475.0,12125.0,12400.0,12400.0,2723900
2021-04-09,12425.0,12675.0,12325.0,12450.0,12450.0,2018100
2021-04-12,12475.0,12600.0,12100.0,12225.0,12225.0,1856000
2021-04-14,12300.0,12950.0,12225.0,12850.0,12850.0,5133500
