Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,620.0,655.0,620.0,635.0,635.0,6800500
2021-03-02,640.0,650.0,615.0,615.0,615.0,5710900
2021-03-03,620.0,625.0,600.0,610.0,610.0,7349200
2021-03-04,610.0,620.0,590.0,600.0,600.0,9052900
2021-03-05,600.0,600.0,580.0,580.0,580.0,5672900
2021-03-08,580.0,595.0,565.0,570.0,570.0,6821600
2021-03-09,570.0,595.0,560.0,580.0,580.0,4132800
2021-03-10,580.0,595.0,560.0,570.0,570.0,3421700
2021-03-12,570.0,590.0,565.0,585.0,585.0,2816800
2021-03-15,585.0,645.0,570.0,645.0,645.0,17316800
2021-03-16,680.0,695.0,620.0,665.0,665.0,56087900
2021-03-17,665.0,685.0,630.0,640.0,640.0,22179700
2021-03-18,650.0,665.0,630.0,640.0,640.0,7554700
2021-03-19,640.0,665.0,630.0,630.0,630.0,8822400
2021-03-22,630.0,640.0,610.0,620.0,620.0,4434800
2021-03-23,620.0,635.0,600.0,605.0,605.0,6455600
2021-03-24,600.0,665.0,590.0,620.0,620.0,37113400
2021-03-25,620.0,630.0,595.0,620.0,620.0,9891100
2021-03-26,620.0,630.0,610.0,620.0,620.0,4191300
2021-03-29,635.0,635.0,600.0,615.0,615.0,5370600
2021-03-30,615.0,620.0,595.0,595.0,595.0,7901100
2021-03-31,595.0,610.0,570.0,580.0,580.0,7091000
2021-04-01,590.0,600.0,570.0,585.0,585.0,2635100
2021-04-05,585.0,600.0,565.0,575.0,575.0,3742700
2021-04-06,575.0,585.0,565.0,580.0,580.0,2181100
2021-04-07,580.0,590.0,575.0,590.0,590.0,2747400
2021-04-08,590.0,605.0,585.0,605.0,605.0,3280700
2021-04-09,610.0,615.0,585.0,595.0,595.0,4975900
2021-04-12,600.0,600.0,560.0,570.0,570.0,7059800
2021-04-14,550.0,565.0,545.0,555.0,555.0,3200500
