Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,162.0,167.0,161.0,165.0,165.0,7723100
2021-03-02,166.0,169.0,163.0,166.0,166.0,4753000
2021-03-03,166.0,168.0,163.0,165.0,165.0,3265700
2021-03-04,165.0,165.0,162.0,164.0,164.0,4338000
2021-03-05,162.0,165.0,157.0,158.0,158.0,3550800
2021-03-08,158.0,172.0,158.0,161.0,161.0,7386900
2021-03-09,161.0,165.0,150.0,155.0,155.0,4296100
2021-03-10,156.0,159.0,155.0,159.0,159.0,5085100
2021-03-12,159.0,163.0,158.0,159.0,159.0,6436700
2021-03-15,159.0,163.0,158.0,160.0,160.0,5783100
2021-03-16,160.0,162.0,158.0,159.0,159.0,4609100
2021-03-17,159.0,159.0,157.0,159.0,159.0,4359400
2021-03-18,159.0,159.0,156.0,159.0,159.0,4856300
2021-03-19,159.0,159.0,155.0,156.0,156.0,3960300
2021-03-22,156.0,157.0,154.0,156.0,156.0,3232400
2021-03-23,155.0,159.0,155.0,157.0,157.0,9338400
2021-03-24,157.0,158.0,154.0,154.0,154.0,6998900
2021-03-25,155.0,159.0,154.0,156.0,156.0,6990700
2021-03-26,156.0,157.0,156.0,156.0,156.0,60700
2021-03-29,157.0,159.0,155.0,155.0,155.0,4414900
2021-03-30,155.0,156.0,154.0,155.0,155.0,5772100
2021-03-31,156.0,187.0,156.0,176.0,176.0,38994800
2021-04-01,178.0,178.0,164.0,164.0,164.0,9298000
2021-04-05,163.0,165.0,154.0,160.0,160.0,3716700
2021-04-06,160.0,163.0,154.0,155.0,155.0,2141800
2021-04-07,155.0,161.0,155.0,157.0,157.0,1125400
2021-04-08,157.0,160.0,156.0,159.0,159.0,486300
2021-04-09,159.0,167.0,157.0,167.0,167.0,9593400
2021-04-12,168.0,170.0,162.0,163.0,163.0,1611200
2021-04-14,155.0,162.0,154.0,160.0,160.0,3753800
