Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,284.0,286.0,274.0,280.0,280.0,17324000
2021-03-02,280.0,282.0,274.0,280.0,280.0,16619200
2021-03-03,282.0,282.0,270.0,278.0,278.0,27666200
2021-03-04,278.0,290.0,274.0,284.0,284.0,38972000
2021-03-05,282.0,290.0,276.0,278.0,278.0,31436100
2021-03-08,278.0,280.0,270.0,276.0,276.0,18841300
2021-03-09,280.0,280.0,272.0,274.0,274.0,10996100
2021-03-10,274.0,276.0,270.0,274.0,274.0,11876800
2021-03-12,306.0,306.0,270.0,276.0,276.0,12652700
2021-03-15,276.0,276.0,270.0,274.0,274.0,10102500
2021-03-16,274.0,274.0,268.0,274.0,274.0,11416900
2021-03-17,274.0,274.0,270.0,274.0,274.0,9034500
2021-03-18,274.0,274.0,270.0,274.0,274.0,8805700
2021-03-19,274.0,274.0,268.0,272.0,272.0,26088600
2021-03-22,272.0,278.0,264.0,272.0,272.0,48214500
2021-03-23,282.0,320.0,264.0,270.0,270.0,271489300
2021-03-24,274.0,274.0,252.0,260.0,260.0,82757700
2021-03-25,260.0,260.0,250.0,256.0,256.0,25365000
2021-03-26,256.0,264.0,254.0,262.0,262.0,16279700
2021-03-29,262.0,264.0,256.0,258.0,258.0,14355800
2021-03-30,258.0,258.0,250.0,252.0,252.0,7274000
2021-03-31,252.0,252.0,244.0,246.0,246.0,35317500
2021-04-01,246.0,250.0,240.0,248.0,248.0,32218600
2021-04-05,252.0,252.0,244.0,248.0,248.0,25433800
2021-04-06,248.0,250.0,244.0,246.0,246.0,11988300
2021-04-07,246.0,248.0,242.0,246.0,246.0,28912700
2021-04-08,246.0,252.0,244.0,248.0,248.0,21391900
2021-04-09,250.0,256.0,248.0,250.0,250.0,14885200
2021-04-12,250.0,250.0,242.0,250.0,250.0,5920300
2021-04-14,246.0,248.0,244.0,248.0,248.0,3743700
