Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,200.0,208.0,198.0,202.0,202.0,9942200
2021-03-02,204.0,208.0,202.0,202.0,202.0,7397400
2021-03-03,204.0,204.0,199.0,202.0,202.0,6201900
2021-03-04,202.0,206.0,198.0,202.0,202.0,15068200
2021-03-05,204.0,204.0,189.0,189.0,189.0,15412800
2021-03-08,188.0,194.0,181.0,184.0,184.0,18944000
2021-03-09,183.0,190.0,181.0,186.0,186.0,10607300
2021-03-10,178.0,189.0,178.0,184.0,184.0,5161000
2021-03-12,186.0,208.0,184.0,204.0,204.0,37525700
2021-03-15,204.0,212.0,198.0,199.0,199.0,16538100
2021-03-16,200.0,202.0,192.0,193.0,193.0,10303700
2021-03-17,193.0,202.0,192.0,196.0,196.0,11805400
2021-03-18,199.0,200.0,196.0,197.0,197.0,6683700
2021-03-19,197.0,198.0,193.0,193.0,193.0,5725400
2021-03-22,193.0,200.0,193.0,198.0,198.0,7985500
2021-03-23,199.0,200.0,193.0,194.0,194.0,8145000
2021-03-24,193.0,195.0,186.0,194.0,194.0,9945100
2021-03-25,194.0,195.0,184.0,191.0,191.0,12000700
2021-03-26,192.0,200.0,189.0,195.0,195.0,10737800
2021-03-29,195.0,204.0,194.0,194.0,194.0,12958100
2021-03-30,194.0,196.0,188.0,190.0,190.0,7220500
2021-03-31,190.0,192.0,184.0,187.0,187.0,6628800
2021-04-01,187.0,193.0,187.0,193.0,193.0,7636900
2021-04-05,193.0,197.0,190.0,192.0,192.0,6654600
2021-04-06,192.0,204.0,192.0,204.0,204.0,28497700
2021-04-07,206.0,224.0,202.0,216.0,216.0,92597400
2021-04-08,220.0,220.0,208.0,210.0,210.0,18451600
2021-04-09,212.0,230.0,210.0,224.0,224.0,49832200
2021-04-12,226.0,246.0,220.0,226.0,226.0,69226300
2021-04-14,212.0,216.0,204.0,204.0,204.0,18363100
