Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,208.0,214.0,197.0,202.0,202.0,12179500
2021-03-02,202.0,206.0,200.0,202.0,202.0,5473600
2021-03-03,204.0,216.0,195.0,200.0,200.0,24063300
2021-03-04,200.0,200.0,186.0,186.0,186.0,19797100
2021-03-05,192.0,202.0,174.0,181.0,181.0,35180700
2021-03-08,181.0,204.0,181.0,204.0,204.0,35151600
2021-03-09,202.0,212.0,190.0,190.0,190.0,31071200
2021-03-10,190.0,202.0,182.0,190.0,190.0,32125700
2021-03-12,193.0,200.0,188.0,189.0,189.0,26863200
2021-03-15,188.0,197.0,187.0,193.0,193.0,16957300
2021-03-16,194.0,200.0,193.0,195.0,195.0,19247300
2021-03-17,186.0,212.0,186.0,197.0,197.0,58837200
2021-03-18,198.0,204.0,192.0,204.0,204.0,23186900
2021-03-19,208.0,210.0,195.0,202.0,202.0,31895600
2021-03-22,202.0,210.0,198.0,202.0,202.0,34428000
2021-03-23,204.0,206.0,194.0,197.0,197.0,15506800
2021-03-24,187.0,197.0,186.0,197.0,197.0,6576200
2021-03-25,190.0,196.0,187.0,189.0,189.0,5904800
2021-03-26,179.0,202.0,179.0,190.0,190.0,19034200
2021-03-29,186.0,193.0,186.0,187.0,187.0,3789600
2021-03-30,188.0,190.0,180.0,183.0,183.0,3524400
2021-03-31,184.0,199.0,178.0,183.0,183.0,25079600
2021-04-01,178.0,184.0,178.0,181.0,181.0,4344700
2021-04-05,180.0,184.0,180.0,182.0,182.0,4900400
2021-04-06,182.0,202.0,180.0,200.0,200.0,75439800
2021-04-07,202.0,212.0,189.0,190.0,190.0,46531800
2021-04-08,190.0,193.0,182.0,186.0,186.0,18442900
2021-04-09,186.0,189.0,183.0,183.0,183.0,7309700
2021-04-12,183.0,186.0,178.0,181.0,181.0,6632200
2021-04-14,178.0,181.0,176.0,177.0,177.0,5858000
