Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,440.0,448.0,432.0,444.0,444.0,27300
2021-03-02,440.0,440.0,430.0,440.0,440.0,34400
2021-03-03,440.0,440.0,440.0,440.0,440.0,6000
2021-03-04,426.0,440.0,426.0,440.0,440.0,400
2021-03-05,430.0,442.0,430.0,442.0,442.0,200
2021-03-08,442.0,442.0,442.0,442.0,442.0,300
2021-03-09,442.0,442.0,442.0,442.0,442.0,0
2021-03-10,442.0,442.0,442.0,442.0,442.0,100
2021-03-12,426.0,446.0,426.0,432.0,432.0,900
2021-03-15,432.0,432.0,432.0,432.0,432.0,0
2021-03-16,432.0,446.0,432.0,446.0,446.0,200
2021-03-17,446.0,446.0,446.0,446.0,446.0,100
2021-03-18,446.0,446.0,446.0,446.0,446.0,0
2021-03-19,430.0,446.0,430.0,442.0,442.0,6500
2021-03-22,430.0,440.0,430.0,440.0,440.0,300
2021-03-23,428.0,440.0,428.0,440.0,440.0,1300
2021-03-24,440.0,440.0,440.0,440.0,440.0,0
2021-03-25,432.0,436.0,430.0,436.0,436.0,15700
2021-03-26,440.0,440.0,428.0,432.0,432.0,15500
2021-03-29,432.0,440.0,432.0,434.0,434.0,20800
2021-03-30,434.0,434.0,434.0,434.0,434.0,8000
2021-03-31,434.0,434.0,434.0,434.0,434.0,0
2021-04-01,434.0,434.0,434.0,434.0,434.0,5200
2021-04-05,428.0,446.0,428.0,444.0,444.0,5000
2021-04-06,444.0,444.0,438.0,438.0,438.0,3600
2021-04-07,428.0,458.0,428.0,458.0,458.0,400
2021-04-08,458.0,458.0,442.0,442.0,442.0,400
2021-04-09,442.0,442.0,434.0,440.0,440.0,2400
2021-04-12,444.0,444.0,432.0,432.0,432.0,2600
2021-04-14,450.0,458.0,430.0,430.0,430.0,800
