Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,1560.0,1595.0,1555.0,1585.0,1585.0,45857500
2021-03-02,1600.0,1600.0,1560.0,1580.0,1580.0,28123200
2021-03-03,1580.0,1585.0,1560.0,1585.0,1585.0,7573500
2021-03-04,1575.0,1585.0,1545.0,1565.0,1565.0,18796900
2021-03-05,1560.0,1665.0,1535.0,1645.0,1645.0,72828200
2021-03-08,1665.0,1715.0,1660.0,1695.0,1695.0,45827000
2021-03-09,1695.0,1845.0,1690.0,1790.0,1790.0,117836000
2021-03-10,1800.0,1825.0,1740.0,1790.0,1790.0,33114300
2021-03-12,1810.0,1890.0,1800.0,1850.0,1850.0,34717600
2021-03-15,1850.0,1930.0,1835.0,1855.0,1855.0,29739900
2021-03-16,1865.0,1895.0,1840.0,1895.0,1895.0,16412000
2021-03-17,1900.0,1900.0,1860.0,1865.0,1865.0,18136900
2021-03-18,1880.0,1890.0,1780.0,1830.0,1830.0,32428300
2021-03-19,1850.0,2020.0,1850.0,1920.0,1920.0,100114700
2021-03-22,1925.0,2040.0,1920.0,2000.0,2000.0,72618500
2021-03-23,2000.0,2000.0,1875.0,1880.0,1880.0,27181300
2021-03-24,1860.0,1910.0,1810.0,1865.0,1865.0,17932100
2021-03-25,1870.0,1925.0,1810.0,1875.0,1875.0,21072100
2021-03-26,1900.0,1910.0,1875.0,1905.0,1905.0,18368600
2021-03-29,1925.0,2040.0,1920.0,1980.0,1980.0,65177100
2021-03-30,1950.0,2040.0,1940.0,2010.0,2010.0,32685500
2021-03-31,2010.0,2030.0,1870.0,1920.0,1920.0,37036200
2021-04-01,1950.0,2060.0,1920.0,2040.0,2040.0,44233800
2021-04-05,2060.0,2080.0,2020.0,2060.0,2060.0,20600700
2021-04-06,2080.0,2080.0,1980.0,2010.0,2010.0,24974400
2021-04-07,2010.0,2130.0,2000.0,2110.0,2110.0,43091100
2021-04-08,2120.0,2130.0,2060.0,2090.0,2090.0,26448300
2021-04-09,2090.0,2190.0,2090.0,2160.0,2160.0,28575400
2021-04-12,2170.0,2200.0,2110.0,2170.0,2170.0,28873500
2021-04-14,2110.0,2150.0,2090.0,2130.0,2130.0,18779900
