Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,560.0,590.0,555.0,590.0,590.0,4933900
2021-03-02,600.0,610.0,585.0,590.0,590.0,6103100
2021-03-03,590.0,595.0,580.0,590.0,590.0,1164000
2021-03-04,590.0,595.0,580.0,590.0,590.0,1439700
2021-03-05,590.0,590.0,580.0,585.0,585.0,516300
2021-03-08,585.0,585.0,575.0,585.0,585.0,1972100
2021-03-09,585.0,590.0,580.0,585.0,585.0,2465800
2021-03-10,590.0,600.0,585.0,600.0,600.0,2024200
2021-03-12,600.0,610.0,585.0,600.0,600.0,2151900
2021-03-15,600.0,600.0,590.0,595.0,595.0,709400
2021-03-16,595.0,595.0,580.0,590.0,590.0,1174100
2021-03-17,590.0,590.0,580.0,590.0,590.0,1584400
2021-03-18,590.0,590.0,575.0,585.0,585.0,2286700
2021-03-19,585.0,595.0,580.0,590.0,590.0,1229300
2021-03-22,590.0,595.0,575.0,590.0,590.0,4107500
2021-03-23,590.0,600.0,590.0,590.0,590.0,2654300
2021-03-24,590.0,590.0,580.0,590.0,590.0,1693900
2021-03-25,590.0,590.0,580.0,590.0,590.0,1170200
2021-03-26,595.0,595.0,580.0,590.0,590.0,1592600
2021-03-29,590.0,590.0,585.0,590.0,590.0,259400
2021-03-30,590.0,590.0,575.0,590.0,590.0,1258200
2021-03-31,585.0,585.0,560.0,575.0,575.0,4865300
2021-04-01,575.0,575.0,570.0,570.0,570.0,398500
2021-04-05,570.0,580.0,565.0,575.0,575.0,1078900
2021-04-06,580.0,590.0,570.0,590.0,590.0,851900
2021-04-07,590.0,590.0,575.0,590.0,590.0,447700
2021-04-08,590.0,590.0,580.0,590.0,590.0,579000
2021-04-09,590.0,590.0,580.0,585.0,585.0,397500
2021-04-12,590.0,590.0,580.0,580.0,580.0,387600
2021-04-14,575.0,580.0,570.0,580.0,580.0,453500
