Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,169.0,172.0,166.0,167.0,167.0,15920800
2021-03-02,167.0,169.0,159.0,161.0,161.0,40381900
2021-03-03,161.0,162.0,153.0,156.0,156.0,30528600
2021-03-04,155.0,157.0,148.0,151.0,151.0,28625000
2021-03-05,150.0,170.0,144.0,153.0,153.0,108284600
2021-03-08,164.0,164.0,147.0,148.0,148.0,21945200
2021-03-09,148.0,150.0,142.0,143.0,143.0,17091700
2021-03-10,143.0,145.0,138.0,139.0,139.0,19017600
2021-03-12,140.0,152.0,138.0,150.0,150.0,34158100
2021-03-15,150.0,152.0,145.0,147.0,147.0,14407700
2021-03-16,147.0,148.0,143.0,143.0,143.0,10202300
2021-03-17,143.0,161.0,141.0,148.0,148.0,74180100
2021-03-18,148.0,152.0,145.0,147.0,147.0,14722600
2021-03-19,146.0,148.0,144.0,145.0,145.0,6464500
2021-03-22,145.0,152.0,144.0,149.0,149.0,17828100
2021-03-23,150.0,151.0,142.0,142.0,142.0,14645100
2021-03-24,141.0,143.0,134.0,134.0,134.0,15597200
2021-03-25,134.0,137.0,125.0,127.0,127.0,16048200
2021-03-26,127.0,132.0,123.0,130.0,130.0,10918100
2021-03-29,130.0,134.0,130.0,131.0,131.0,5624200
2021-03-30,134.0,140.0,128.0,131.0,131.0,19530500
2021-03-31,131.0,132.0,122.0,124.0,124.0,11058400
2021-04-01,124.0,127.0,120.0,123.0,123.0,9273700
2021-04-05,123.0,125.0,118.0,119.0,119.0,7655200
2021-04-06,120.0,124.0,116.0,120.0,120.0,7103600
2021-04-07,121.0,125.0,117.0,124.0,124.0,6233800
2021-04-08,125.0,138.0,124.0,134.0,134.0,43064000
2021-04-09,136.0,136.0,129.0,130.0,130.0,12760900
2021-04-12,130.0,131.0,123.0,125.0,125.0,6415100
2021-04-14,120.0,130.0,120.0,130.0,130.0,17852800
