Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,3550.0,3700.0,3550.0,3610.0,3610.0,5932900
2021-03-02,3650.0,3660.0,3560.0,3600.0,3600.0,4260900
2021-03-03,3600.0,3630.0,3500.0,3510.0,3510.0,4929300
2021-03-04,3520.0,3520.0,3270.0,3320.0,3320.0,8491500
2021-03-05,3420.0,3420.0,3170.0,3260.0,3260.0,3394100
2021-03-08,3260.0,3320.0,3250.0,3250.0,3250.0,3643200
2021-03-09,3300.0,3300.0,3050.0,3080.0,3080.0,4535100
2021-03-10,3080.0,3210.0,3070.0,3090.0,3090.0,4924800
2021-03-12,3150.0,3250.0,3080.0,3230.0,3230.0,5222000
2021-03-15,3230.0,3270.0,3180.0,3200.0,3200.0,2320300
2021-03-16,3160.0,3220.0,3110.0,3110.0,3110.0,3195700
2021-03-17,3120.0,3170.0,3070.0,3100.0,3100.0,3105800
2021-03-18,3110.0,3140.0,3060.0,3080.0,3080.0,2556900
2021-03-19,3080.0,3110.0,3060.0,3090.0,3090.0,2122400
2021-03-22,3090.0,3110.0,3020.0,3040.0,3040.0,2731700
2021-03-23,3050.0,3060.0,2970.0,2970.0,2970.0,4016100
2021-03-24,2970.0,2970.0,2820.0,2820.0,2820.0,5350900
2021-03-25,2820.0,2910.0,2740.0,2760.0,2760.0,4108700
2021-03-26,2800.0,2900.0,2720.0,2890.0,2890.0,3847500
2021-03-29,2900.0,2910.0,2780.0,2790.0,2790.0,2338900
2021-03-30,2790.0,2790.0,2700.0,2710.0,2710.0,2252600
2021-03-31,2700.0,2710.0,2530.0,2560.0,2560.0,4835100
2021-04-01,2550.0,2630.0,2500.0,2630.0,2630.0,3132100
2021-04-05,2670.0,2740.0,2530.0,2610.0,2610.0,3876600
2021-04-06,2620.0,2620.0,2530.0,2570.0,2570.0,1630100
2021-04-07,2570.0,2590.0,2480.0,2520.0,2520.0,2295300
2021-04-08,2530.0,2600.0,2500.0,2560.0,2560.0,3280900
2021-04-09,2560.0,2770.0,2560.0,2670.0,2670.0,7004600
2021-04-12,2680.0,2700.0,2510.0,2540.0,2540.0,3311600
2021-04-14,2500.0,2550.0,2500.0,2520.0,2520.0,1489400
