Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,64.0,65.0,63.0,64.0,64.0,26600
2021-03-02,67.0,67.0,62.0,66.0,66.0,27700
2021-03-03,66.0,66.0,64.0,65.0,65.0,26000
2021-03-04,65.0,65.0,63.0,63.0,63.0,5200
2021-03-05,64.0,70.0,63.0,68.0,68.0,765400
2021-03-08,69.0,72.0,68.0,69.0,69.0,198300
2021-03-09,70.0,72.0,67.0,67.0,67.0,269500
2021-03-10,68.0,69.0,65.0,68.0,68.0,18800
2021-03-12,69.0,69.0,65.0,66.0,66.0,12900
2021-03-15,66.0,70.0,63.0,70.0,70.0,288500
2021-03-16,70.0,71.0,67.0,68.0,68.0,264000
2021-03-17,68.0,68.0,67.0,67.0,67.0,5600
2021-03-18,66.0,70.0,65.0,65.0,65.0,245600
2021-03-19,65.0,68.0,64.0,66.0,66.0,94200
2021-03-22,65.0,67.0,62.0,67.0,67.0,29600
2021-03-23,66.0,70.0,65.0,66.0,66.0,172000
2021-03-24,66.0,66.0,63.0,63.0,63.0,21200
2021-03-25,64.0,66.0,63.0,63.0,63.0,29800
2021-03-26,63.0,65.0,63.0,65.0,65.0,3000
2021-03-29,64.0,64.0,62.0,64.0,64.0,38000
2021-03-30,64.0,64.0,63.0,63.0,63.0,700
2021-03-31,65.0,72.0,61.0,62.0,62.0,272800
2021-04-01,64.0,65.0,61.0,64.0,64.0,36100
2021-04-05,62.0,65.0,62.0,65.0,65.0,600
2021-04-06,65.0,65.0,65.0,65.0,65.0,19400
2021-04-07,65.0,65.0,62.0,64.0,64.0,57400
2021-04-08,64.0,67.0,64.0,66.0,66.0,9700
2021-04-09,64.0,66.0,64.0,64.0,64.0,63700
2021-04-12,67.0,67.0,60.0,61.0,61.0,464000
2021-04-14,68.0,86.0,67.0,86.0,86.0,17669600
