Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,50.0,50.0,50.0,50.0,50.0,615300
2021-03-02,50.0,50.0,50.0,50.0,50.0,494700
2021-03-03,50.0,50.0,50.0,50.0,50.0,550600
2021-03-04,50.0,50.0,50.0,50.0,50.0,753000
2021-03-05,50.0,50.0,50.0,50.0,50.0,32174600
2021-03-08,50.0,50.0,50.0,50.0,50.0,38826100
2021-03-09,50.0,50.0,50.0,50.0,50.0,1565600
2021-03-10,50.0,50.0,50.0,50.0,50.0,217900
2021-03-12,50.0,50.0,50.0,50.0,50.0,1155400
2021-03-15,50.0,50.0,50.0,50.0,50.0,17489700
2021-03-16,50.0,50.0,50.0,50.0,50.0,443600
2021-03-17,50.0,50.0,50.0,50.0,50.0,22486100
2021-03-18,50.0,50.0,50.0,50.0,50.0,371400
2021-03-19,50.0,50.0,50.0,50.0,50.0,4136900
2021-03-22,50.0,50.0,50.0,50.0,50.0,119274900
2021-03-23,50.0,50.0,50.0,50.0,50.0,143307800
2021-03-24,50.0,50.0,50.0,50.0,50.0,56992700
2021-03-25,50.0,50.0,50.0,50.0,50.0,111181300
2021-03-26,50.0,50.0,50.0,50.0,50.0,31535100
2021-03-29,50.0,50.0,50.0,50.0,50.0,27538600
2021-03-30,50.0,50.0,50.0,50.0,50.0,18588000
2021-03-31,50.0,50.0,50.0,50.0,50.0,11661100
2021-04-01,50.0,50.0,50.0,50.0,50.0,41310700
2021-04-05,50.0,50.0,50.0,50.0,50.0,43308400
2021-04-06,50.0,50.0,50.0,50.0,50.0,3118300
2021-04-07,50.0,50.0,50.0,50.0,50.0,21808600
2021-04-08,50.0,50.0,50.0,50.0,50.0,419500
2021-04-09,50.0,50.0,50.0,50.0,50.0,17195100
2021-04-12,50.0,50.0,50.0,50.0,50.0,934600
2021-04-14,50.0,50.0,50.0,50.0,50.0,28216500
