Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,218.0,220.0,214.0,220.0,220.0,137600
2021-03-02,220.0,220.0,218.0,218.0,218.0,66800
2021-03-03,218.0,224.0,218.0,222.0,222.0,431900
2021-03-04,230.0,230.0,218.0,220.0,220.0,446600
2021-03-05,218.0,220.0,216.0,218.0,218.0,296700
2021-03-08,218.0,220.0,218.0,220.0,220.0,74700
2021-03-09,216.0,220.0,212.0,212.0,212.0,122500
2021-03-10,214.0,218.0,212.0,218.0,218.0,12800
2021-03-12,218.0,218.0,212.0,214.0,214.0,77600
2021-03-15,216.0,222.0,216.0,222.0,222.0,414900
2021-03-16,220.0,220.0,216.0,216.0,216.0,66900
2021-03-17,218.0,218.0,216.0,218.0,218.0,67800
2021-03-18,228.0,228.0,218.0,220.0,220.0,170100
2021-03-19,220.0,224.0,220.0,220.0,220.0,226700
2021-03-22,222.0,222.0,220.0,220.0,220.0,66200
2021-03-23,220.0,220.0,218.0,218.0,218.0,69900
2021-03-24,222.0,222.0,214.0,214.0,214.0,153600
2021-03-25,220.0,220.0,210.0,218.0,218.0,62800
2021-03-26,218.0,220.0,212.0,218.0,218.0,24400
2021-03-29,216.0,218.0,216.0,216.0,216.0,105700
2021-03-30,218.0,218.0,214.0,214.0,214.0,11000
2021-03-31,218.0,218.0,214.0,214.0,214.0,7500
2021-04-01,214.0,214.0,210.0,210.0,210.0,84300
2021-04-05,212.0,216.0,212.0,216.0,216.0,8400
2021-04-06,216.0,220.0,214.0,216.0,216.0,23100
2021-04-07,216.0,220.0,206.0,216.0,216.0,35600
2021-04-08,218.0,220.0,210.0,210.0,210.0,33400
2021-04-09,220.0,220.0,212.0,216.0,216.0,27600
2021-04-12,214.0,220.0,212.0,212.0,212.0,19300
2021-04-14,212.0,214.0,210.0,214.0,214.0,45300
