Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,320.0,320.0,316.0,320.0,320.0,1980900
2021-03-02,320.0,320.0,318.0,320.0,320.0,2087000
2021-03-03,320.0,322.0,310.0,318.0,318.0,2352900
2021-03-04,318.0,318.0,308.0,314.0,314.0,2374300
2021-03-05,314.0,316.0,306.0,306.0,306.0,2380000
2021-03-08,306.0,310.0,302.0,310.0,310.0,2356600
2021-03-09,310.0,310.0,302.0,310.0,310.0,2014400
2021-03-10,310.0,324.0,308.0,322.0,322.0,2262200
2021-03-12,322.0,324.0,318.0,322.0,322.0,2001600
2021-03-15,322.0,322.0,316.0,320.0,320.0,1922600
2021-03-16,320.0,322.0,316.0,322.0,322.0,1959900
2021-03-17,322.0,332.0,318.0,324.0,324.0,2231400
2021-03-18,322.0,324.0,316.0,318.0,318.0,2016600
2021-03-19,316.0,320.0,312.0,318.0,318.0,1981100
2021-03-22,316.0,322.0,314.0,322.0,322.0,2366500
2021-03-23,322.0,368.0,320.0,354.0,354.0,9802900
2021-03-24,354.0,358.0,330.0,334.0,334.0,4832700
2021-03-25,332.0,334.0,316.0,316.0,316.0,3824200
2021-03-26,316.0,336.0,316.0,330.0,330.0,2857800
2021-03-29,330.0,330.0,314.0,316.0,316.0,2760900
2021-03-30,316.0,320.0,314.0,318.0,318.0,2236200
2021-03-31,318.0,320.0,312.0,314.0,314.0,2018900
2021-04-01,314.0,314.0,304.0,304.0,304.0,2616400
2021-04-05,304.0,308.0,298.0,300.0,300.0,2676800
2021-04-06,300.0,302.0,296.0,300.0,300.0,2615200
2021-04-07,300.0,310.0,300.0,310.0,310.0,2093300
2021-04-08,310.0,320.0,306.0,318.0,318.0,2535400
2021-04-09,318.0,318.0,310.0,316.0,316.0,1866100
2021-04-12,316.0,316.0,306.0,314.0,314.0,2558100
2021-04-14,312.0,318.0,312.0,318.0,318.0,1967800
