Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,212.0,228.0,212.0,228.0,228.0,3300
2021-03-02,216.0,226.0,216.0,222.0,222.0,1400
2021-03-03,220.0,226.0,220.0,224.0,224.0,2100
2021-03-04,224.0,280.0,210.0,248.0,248.0,47800
2021-03-05,268.0,268.0,232.0,232.0,232.0,16700
2021-03-08,252.0,252.0,220.0,222.0,222.0,18400
2021-03-09,242.0,260.0,212.0,234.0,234.0,6000
2021-03-10,232.0,250.0,220.0,246.0,246.0,3600
2021-03-12,260.0,260.0,234.0,246.0,246.0,700
2021-03-15,234.0,242.0,234.0,242.0,242.0,2700
2021-03-16,242.0,260.0,226.0,260.0,260.0,5400
2021-03-17,260.0,324.0,242.0,258.0,258.0,29100
2021-03-18,240.0,240.0,240.0,240.0,240.0,100
2021-03-19,226.0,230.0,226.0,230.0,230.0,1500
2021-03-22,230.0,232.0,230.0,232.0,232.0,1100
2021-03-23,218.0,240.0,218.0,224.0,224.0,1800
2021-03-24,212.0,220.0,212.0,220.0,220.0,2800
2021-03-25,208.0,216.0,208.0,214.0,214.0,600
2021-03-26,220.0,220.0,216.0,218.0,218.0,2500
2021-03-29,218.0,244.0,206.0,236.0,236.0,3300
2021-03-30,224.0,290.0,224.0,238.0,238.0,118400
2021-03-31,238.0,284.0,228.0,238.0,238.0,79500
2021-04-01,222.0,248.0,222.0,246.0,246.0,4500
2021-04-05,246.0,298.0,232.0,242.0,242.0,38100
2021-04-06,286.0,286.0,244.0,244.0,244.0,11000
2021-04-07,244.0,282.0,244.0,244.0,244.0,6300
2021-04-08,236.0,258.0,236.0,240.0,240.0,1800
2021-04-09,240.0,246.0,232.0,236.0,236.0,8000
2021-04-12,256.0,256.0,220.0,236.0,236.0,13200
2021-04-14,224.0,246.0,224.0,230.0,230.0,13700
