Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,163.0,173.0,161.0,169.0,169.0,32923900
2021-03-02,172.0,172.0,167.0,167.0,167.0,10096700
2021-03-03,167.0,168.0,165.0,166.0,166.0,6210000
2021-03-04,166.0,167.0,162.0,163.0,163.0,13605600
2021-03-05,163.0,166.0,162.0,166.0,166.0,12991400
2021-03-08,168.0,171.0,166.0,169.0,169.0,19515900
2021-03-09,170.0,174.0,168.0,171.0,171.0,25159400
2021-03-10,173.0,179.0,172.0,178.0,178.0,37676800
2021-03-12,179.0,193.0,179.0,186.0,186.0,80434200
2021-03-15,187.0,192.0,185.0,186.0,186.0,27175600
2021-03-16,186.0,188.0,176.0,178.0,178.0,19576000
2021-03-17,178.0,182.0,172.0,173.0,173.0,25099400
2021-03-18,175.0,177.0,170.0,170.0,170.0,17432200
2021-03-19,172.0,176.0,170.0,176.0,176.0,15600100
2021-03-22,176.0,206.0,176.0,189.0,189.0,337625200
2021-03-23,191.0,192.0,180.0,182.0,182.0,53355100
2021-03-24,184.0,184.0,175.0,175.0,175.0,25195600
2021-03-25,174.0,180.0,171.0,176.0,176.0,20108700
2021-03-26,178.0,183.0,174.0,180.0,180.0,15097100
2021-03-29,181.0,183.0,178.0,179.0,179.0,14190700
2021-03-30,178.0,185.0,178.0,179.0,179.0,19200400
2021-03-31,179.0,183.0,172.0,176.0,176.0,21565900
2021-04-01,176.0,179.0,175.0,175.0,175.0,8313700
2021-04-05,176.0,177.0,173.0,173.0,173.0,7254900
2021-04-06,174.0,177.0,170.0,176.0,176.0,10326600
2021-04-07,177.0,182.0,176.0,182.0,182.0,17502800
2021-04-08,183.0,187.0,181.0,181.0,181.0,29249400
2021-04-09,182.0,184.0,177.0,178.0,178.0,7182800
2021-04-12,178.0,179.0,173.0,175.0,175.0,8983800
2021-04-13,174.0,176.0,171.0,171.0,171.0,19998500
2021-04-14,173.0,174.0,171.0,174.0,174.0,9057500
