Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,700.0,735.0,685.0,715.0,715.0,120100
2021-03-02,715.0,715.0,665.0,710.0,710.0,532100
2021-03-03,710.0,710.0,665.0,665.0,665.0,118600
2021-03-04,665.0,665.0,620.0,620.0,620.0,116300
2021-03-05,620.0,620.0,580.0,580.0,580.0,39400
2021-03-08,540.0,595.0,540.0,595.0,595.0,263300
2021-03-09,595.0,675.0,555.0,620.0,620.0,807300
2021-03-10,630.0,675.0,585.0,670.0,670.0,340900
2021-03-12,670.0,690.0,650.0,670.0,670.0,367100
2021-03-15,670.0,770.0,650.0,650.0,650.0,163200
2021-03-16,655.0,655.0,605.0,630.0,630.0,197400
2021-03-17,630.0,650.0,590.0,650.0,650.0,160000
2021-03-18,660.0,670.0,620.0,620.0,620.0,106400
2021-03-19,590.0,630.0,590.0,625.0,625.0,136800
2021-03-22,625.0,625.0,610.0,610.0,610.0,122700
2021-03-23,610.0,620.0,580.0,600.0,600.0,132100
2021-03-24,600.0,615.0,585.0,600.0,600.0,148700
2021-03-25,600.0,605.0,560.0,590.0,590.0,81300
2021-03-26,590.0,605.0,590.0,600.0,600.0,132500
2021-03-29,605.0,610.0,570.0,590.0,590.0,120500
2021-03-30,590.0,605.0,550.0,550.0,550.0,187300
2021-03-31,550.0,575.0,520.0,520.0,520.0,116700
2021-04-01,515.0,520.0,488.0,488.0,488.0,38100
2021-04-05,488.0,540.0,486.0,515.0,515.0,244900
2021-04-06,515.0,595.0,515.0,560.0,560.0,289600
2021-04-07,560.0,600.0,525.0,525.0,525.0,210600
2021-04-08,525.0,545.0,492.0,492.0,492.0,266500
2021-04-09,494.0,498.0,492.0,496.0,496.0,35400
2021-04-12,496.0,560.0,496.0,500.0,500.0,307800
2021-04-13,498.0,515.0,498.0,500.0,500.0,50700
2021-04-14,500.0,520.0,466.0,488.0,488.0,213500
