Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,1490.0,1525.0,1485.0,1520.0,1520.0,58528000
2021-03-02,1530.0,1570.0,1520.0,1550.0,1550.0,58307000
2021-03-03,1560.0,1565.0,1530.0,1550.0,1550.0,48819600
2021-03-04,1550.0,1575.0,1530.0,1555.0,1555.0,67889800
2021-03-05,1555.0,1560.0,1545.0,1555.0,1555.0,35614600
2021-03-08,1555.0,1570.0,1550.0,1555.0,1555.0,31401200
2021-03-09,1560.0,1565.0,1535.0,1545.0,1545.0,38671000
2021-03-10,1560.0,1590.0,1550.0,1585.0,1585.0,40133700
2021-03-12,1590.0,1615.0,1585.0,1595.0,1595.0,71273800
2021-03-15,1605.0,1615.0,1580.0,1585.0,1585.0,43715300
2021-03-16,1590.0,1595.0,1575.0,1585.0,1585.0,22390500
2021-03-17,1595.0,1610.0,1590.0,1590.0,1590.0,30764600
2021-03-18,1600.0,1605.0,1570.0,1575.0,1575.0,19222800
2021-03-19,1575.0,1625.0,1565.0,1605.0,1605.0,99339900
2021-03-22,1625.0,1635.0,1590.0,1600.0,1600.0,29442900
2021-03-23,1595.0,1600.0,1555.0,1575.0,1575.0,37466600
2021-03-24,1570.0,1570.0,1520.0,1525.0,1525.0,34585300
2021-03-25,1525.0,1595.0,1520.0,1590.0,1590.0,36607700
2021-03-26,1590.0,1590.0,1560.0,1580.0,1580.0,11780400
2021-03-29,1580.0,1585.0,1530.0,1540.0,1540.0,30661700
2021-03-30,1550.0,1570.0,1530.0,1540.0,1540.0,23063900
2021-03-31,1540.0,1570.0,1515.0,1570.0,1570.0,22300400
2021-04-01,1570.0,1570.0,1540.0,1550.0,1550.0,17604600
2021-04-05,1565.0,1580.0,1550.0,1550.0,1550.0,14155000
2021-04-06,1550.0,1565.0,1545.0,1555.0,1555.0,23411100
2021-04-07,1560.0,1560.0,1545.0,1550.0,1550.0,15104900
2021-04-08,1550.0,1570.0,1550.0,1565.0,1565.0,17501800
2021-04-09,1570.0,1570.0,1535.0,1550.0,1550.0,28744400
2021-04-12,1550.0,1550.0,1510.0,1510.0,1510.0,14682200
2021-04-13,1510.0,1510.0,1485.0,1490.0,1490.0,22230800
2021-04-14,1485.0,1500.0,1485.0,1495.0,1495.0,23625400
