Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,520.0,520.0,482.0,496.0,496.0,14900
2021-03-02,515.0,515.0,462.0,500.0,500.0,8900
2021-03-03,550.0,550.0,470.0,510.0,510.0,9100
2021-03-04,560.0,560.0,478.0,478.0,478.0,2800
2021-03-05,498.0,510.0,450.0,510.0,510.0,26100
2021-03-08,560.0,560.0,510.0,510.0,510.0,1500
2021-03-09,500.0,510.0,500.0,510.0,510.0,3300
2021-03-10,520.0,520.0,476.0,496.0,496.0,5800
2021-03-12,510.0,510.0,476.0,490.0,490.0,1800
2021-03-15,500.0,500.0,500.0,500.0,500.0,300
2021-03-16,510.0,510.0,488.0,500.0,500.0,900
2021-03-17,510.0,510.0,510.0,510.0,510.0,100
2021-03-18,520.0,520.0,490.0,500.0,500.0,4700
2021-03-19,550.0,550.0,476.0,500.0,500.0,21700
2021-03-22,510.0,510.0,472.0,505.0,505.0,3500
2021-03-23,505.0,505.0,505.0,505.0,505.0,500
2021-03-24,505.0,505.0,472.0,500.0,500.0,6800
2021-03-25,505.0,505.0,500.0,500.0,500.0,600
2021-03-26,505.0,505.0,505.0,505.0,505.0,100
2021-03-29,505.0,505.0,505.0,505.0,505.0,200
2021-03-30,505.0,510.0,470.0,500.0,500.0,20300
2021-03-31,505.0,505.0,505.0,505.0,505.0,200
2021-04-01,505.0,505.0,476.0,496.0,496.0,25500
2021-04-05,515.0,515.0,468.0,505.0,505.0,7900
2021-04-06,505.0,505.0,474.0,474.0,474.0,1000
2021-04-07,500.0,500.0,494.0,494.0,494.0,4200
2021-04-08,500.0,500.0,500.0,500.0,500.0,100
2021-04-09,505.0,505.0,505.0,505.0,505.0,300
2021-04-12,500.0,500.0,472.0,472.0,472.0,1500
2021-04-13,505.0,505.0,446.0,496.0,496.0,3100
2021-04-14,505.0,505.0,500.0,500.0,500.0,800
