Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,145.0,150.0,144.0,150.0,150.0,965100
2021-03-02,150.0,150.0,146.0,146.0,146.0,222900
2021-03-03,147.0,150.0,146.0,149.0,149.0,214900
2021-03-04,149.0,149.0,146.0,148.0,148.0,295700
2021-03-05,148.0,155.0,148.0,153.0,153.0,356000
2021-03-08,152.0,155.0,146.0,149.0,149.0,246900
2021-03-09,149.0,156.0,148.0,154.0,154.0,525800
2021-03-10,154.0,155.0,151.0,153.0,153.0,115900
2021-03-12,153.0,156.0,153.0,156.0,156.0,47700
2021-03-15,155.0,157.0,155.0,157.0,157.0,99900
2021-03-16,156.0,158.0,156.0,158.0,158.0,110800
2021-03-17,158.0,158.0,155.0,155.0,155.0,89800
2021-03-18,155.0,157.0,155.0,155.0,155.0,132500
2021-03-19,154.0,156.0,154.0,156.0,156.0,18600
2021-03-22,154.0,156.0,153.0,153.0,153.0,105300
2021-03-23,155.0,155.0,152.0,152.0,152.0,47000
2021-03-24,152.0,152.0,143.0,147.0,147.0,673000
2021-03-25,150.0,161.0,145.0,147.0,147.0,441100
2021-03-26,149.0,151.0,148.0,149.0,149.0,186200
2021-03-29,148.0,150.0,147.0,150.0,150.0,71100
2021-03-30,146.0,150.0,146.0,148.0,148.0,32200
2021-03-31,148.0,150.0,146.0,148.0,148.0,78700
2021-04-01,146.0,150.0,145.0,148.0,148.0,51300
2021-04-05,150.0,156.0,148.0,150.0,150.0,20400
2021-04-06,149.0,154.0,147.0,149.0,149.0,169900
2021-04-07,150.0,151.0,149.0,150.0,150.0,23800
2021-04-08,150.0,151.0,147.0,150.0,150.0,263900
2021-04-09,150.0,151.0,149.0,149.0,149.0,38900
2021-04-12,150.0,150.0,145.0,148.0,148.0,49100
2021-04-13,148.0,149.0,146.0,148.0,148.0,71100
2021-04-14,146.0,147.0,145.0,147.0,147.0,48600
