Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,145.0,145.0,138.0,139.0,139.0,81291100
2021-03-02,139.0,140.0,131.0,133.0,133.0,74367600
2021-03-03,136.0,144.0,132.0,140.0,140.0,197755400
2021-03-04,142.0,152.0,136.0,139.0,139.0,334311900
2021-03-05,138.0,139.0,132.0,135.0,135.0,71268900
2021-03-08,134.0,139.0,129.0,130.0,130.0,60946500
2021-03-09,130.0,130.0,122.0,124.0,124.0,44701500
2021-03-10,124.0,135.0,120.0,125.0,125.0,77032300
2021-03-12,126.0,132.0,123.0,124.0,124.0,89495000
2021-03-15,124.0,126.0,121.0,125.0,125.0,38243600
2021-03-16,125.0,125.0,121.0,125.0,125.0,51372000
2021-03-17,126.0,129.0,122.0,123.0,123.0,87192700
2021-03-18,116.0,124.0,116.0,119.0,119.0,41711600
2021-03-19,119.0,119.0,115.0,116.0,116.0,43083100
2021-03-22,114.0,117.0,111.0,113.0,113.0,37120100
2021-03-23,116.0,119.0,111.0,113.0,113.0,126191500
2021-03-24,113.0,115.0,110.0,111.0,111.0,42635000
2021-03-25,108.0,114.0,108.0,110.0,110.0,37445400
2021-03-26,108.0,112.0,108.0,110.0,110.0,21709400
2021-03-29,110.0,114.0,110.0,111.0,111.0,34676500
2021-03-30,109.0,112.0,108.0,108.0,108.0,19095100
2021-03-31,108.0,109.0,102.0,102.0,102.0,50803800
2021-04-01,103.0,106.0,101.0,104.0,104.0,51425100
2021-04-05,104.0,111.0,103.0,109.0,109.0,62356800
2021-04-06,108.0,113.0,108.0,111.0,111.0,53001100
2021-04-07,111.0,113.0,109.0,113.0,113.0,48445400
2021-04-08,111.0,117.0,111.0,113.0,113.0,44888700
2021-04-09,113.0,116.0,112.0,112.0,112.0,35163400
2021-04-12,112.0,114.0,108.0,109.0,109.0,21538800
2021-04-13,109.0,111.0,106.0,108.0,108.0,18790100
2021-04-14,108.0,112.0,107.0,109.0,109.0,29538100
