Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,114.0,114.0,114.0,114.0,114.0,0
2021-03-02,114.0,114.0,114.0,114.0,114.0,0
2021-03-03,114.0,114.0,114.0,114.0,114.0,0
2021-03-04,114.0,114.0,114.0,114.0,114.0,0
2021-03-05,114.0,114.0,114.0,114.0,114.0,0
2021-03-08,114.0,114.0,114.0,114.0,114.0,0
2021-03-09,114.0,114.0,114.0,114.0,114.0,0
2021-03-10,114.0,114.0,114.0,114.0,114.0,0
2021-03-12,114.0,114.0,114.0,114.0,114.0,0
2021-03-15,114.0,114.0,114.0,114.0,114.0,0
2021-03-16,114.0,114.0,114.0,114.0,114.0,0
2021-03-17,114.0,114.0,114.0,114.0,114.0,0
2021-03-18,114.0,114.0,114.0,114.0,114.0,0
2021-03-19,114.0,114.0,114.0,114.0,114.0,0
2021-03-22,114.0,114.0,114.0,114.0,114.0,0
2021-03-23,114.0,114.0,114.0,114.0,114.0,0
2021-03-24,114.0,114.0,114.0,114.0,114.0,0
2021-03-25,114.0,114.0,114.0,114.0,114.0,0
2021-03-26,114.0,114.0,114.0,114.0,114.0,0
2021-03-29,114.0,114.0,114.0,114.0,114.0,0
2021-03-30,114.0,114.0,114.0,114.0,114.0,0
2021-03-31,114.0,114.0,114.0,114.0,114.0,0
2021-04-01,114.0,114.0,114.0,114.0,114.0,0
2021-04-05,114.0,114.0,114.0,114.0,114.0,0
2021-04-06,114.0,114.0,114.0,114.0,114.0,0
2021-04-07,114.0,114.0,114.0,114.0,114.0,0
2021-04-08,114.0,114.0,114.0,114.0,114.0,0
2021-04-09,114.0,114.0,114.0,114.0,114.0,0
2021-04-12,114.0,114.0,114.0,114.0,114.0,0
2021-04-13,114.0,114.0,114.0,114.0,114.0,0
2021-04-14,114.0,114.0,114.0,114.0,114.0,0
