Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,3310.0,3490.0,3220.0,3480.0,3480.0,6143800
2021-03-02,3490.0,3510.0,3320.0,3350.0,3350.0,5191500
2021-03-03,3360.0,3390.0,3270.0,3370.0,3370.0,5181600
2021-03-04,3360.0,3410.0,3200.0,3400.0,3400.0,4020400
2021-03-05,3300.0,3380.0,3270.0,3310.0,3310.0,4710700
2021-03-08,3340.0,3370.0,3200.0,3240.0,3240.0,3067800
2021-03-09,3240.0,3380.0,3180.0,3270.0,3270.0,7314100
2021-03-10,3270.0,3330.0,3220.0,3290.0,3290.0,1526200
2021-03-12,3300.0,3440.0,3300.0,3360.0,3360.0,2833100
2021-03-15,3390.0,3430.0,3320.0,3380.0,3380.0,2106400
2021-03-16,3380.0,3400.0,3310.0,3330.0,3330.0,981200
2021-03-17,3330.0,3340.0,3260.0,3320.0,3320.0,2077100
2021-03-18,3320.0,3340.0,3290.0,3340.0,3340.0,1335300
2021-03-19,3340.0,3440.0,3300.0,3400.0,3400.0,3097000
2021-03-22,3390.0,3400.0,3220.0,3220.0,3220.0,6526400
2021-03-23,3250.0,3300.0,3130.0,3180.0,3180.0,4553800
2021-03-24,3180.0,3180.0,3090.0,3140.0,3140.0,2477900
2021-03-25,3140.0,3140.0,3030.0,3110.0,3110.0,5418300
2021-03-26,3130.0,3200.0,3070.0,3200.0,3200.0,4308400
2021-03-29,3200.0,3240.0,3170.0,3240.0,3240.0,2041800
2021-03-30,3250.0,3260.0,3150.0,3230.0,3230.0,2008700
2021-03-31,3230.0,3230.0,3050.0,3200.0,3200.0,4163100
2021-04-01,3160.0,3220.0,3120.0,3220.0,3220.0,2826600
2021-04-05,3210.0,3240.0,3170.0,3200.0,3200.0,892900
2021-04-06,3200.0,3260.0,3160.0,3260.0,3260.0,1397500
2021-04-07,3270.0,3290.0,3240.0,3250.0,3250.0,2082900
2021-04-08,3250.0,3300.0,3230.0,3300.0,3300.0,1724800
2021-04-09,3300.0,3380.0,3240.0,3370.0,3370.0,3337400
2021-04-12,3380.0,3380.0,3260.0,3290.0,3290.0,3168700
2021-04-13,3290.0,3410.0,3220.0,3360.0,3360.0,5491800
2021-04-14,3380.0,3460.0,3360.0,3400.0,3400.0,6880600
