Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,111.0,120.0,111.0,117.0,117.0,326200
2021-03-02,120.0,120.0,114.0,115.0,115.0,175500
2021-03-03,119.0,126.0,115.0,126.0,126.0,1262400
2021-03-04,126.0,130.0,120.0,126.0,126.0,218900
2021-03-05,126.0,126.0,121.0,126.0,126.0,190900
2021-03-08,127.0,130.0,122.0,127.0,127.0,39200
2021-03-09,128.0,130.0,123.0,129.0,129.0,30900
2021-03-10,125.0,127.0,125.0,127.0,127.0,5500
2021-03-12,127.0,130.0,123.0,127.0,127.0,61400
2021-03-15,129.0,129.0,123.0,124.0,124.0,121300
2021-03-16,124.0,130.0,123.0,130.0,130.0,90500
2021-03-17,130.0,133.0,125.0,130.0,130.0,130500
2021-03-18,127.0,130.0,126.0,130.0,130.0,31300
2021-03-19,130.0,130.0,126.0,130.0,130.0,59500
2021-03-22,130.0,134.0,126.0,133.0,133.0,11300
2021-03-23,128.0,133.0,127.0,127.0,127.0,3000
2021-03-24,128.0,135.0,125.0,134.0,134.0,732400
2021-03-25,135.0,136.0,128.0,134.0,134.0,111300
2021-03-26,134.0,137.0,129.0,136.0,136.0,12200
2021-03-29,134.0,136.0,129.0,136.0,136.0,117000
2021-03-30,134.0,141.0,134.0,137.0,137.0,335600
2021-03-31,137.0,151.0,133.0,148.0,148.0,3651900
2021-04-01,152.0,190.0,138.0,140.0,140.0,108536100
2021-04-05,140.0,143.0,132.0,132.0,132.0,978800
2021-04-06,132.0,135.0,123.0,128.0,128.0,731400
2021-04-07,134.0,134.0,123.0,124.0,124.0,567200
2021-04-08,126.0,128.0,122.0,123.0,123.0,137400
2021-04-09,124.0,126.0,115.0,123.0,123.0,2974500
2021-04-12,126.0,128.0,123.0,128.0,128.0,655200
2021-04-13,130.0,140.0,128.0,133.0,133.0,4197300
2021-04-14,134.0,135.0,131.0,131.0,131.0,615900
