Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,254.0,254.0,254.0,254.0,254.0,200
2021-03-02,254.0,256.0,254.0,254.0,254.0,9900
2021-03-03,254.0,256.0,242.0,254.0,254.0,400
2021-03-04,254.0,256.0,250.0,256.0,256.0,2800
2021-03-05,256.0,256.0,256.0,256.0,256.0,3900
2021-03-08,244.0,256.0,244.0,256.0,256.0,1400
2021-03-09,256.0,256.0,250.0,256.0,256.0,500
2021-03-10,240.0,256.0,240.0,254.0,254.0,7000
2021-03-12,244.0,254.0,244.0,244.0,244.0,8700
2021-03-15,244.0,252.0,244.0,246.0,246.0,7500
2021-03-16,252.0,252.0,248.0,250.0,250.0,7600
2021-03-17,250.0,254.0,248.0,248.0,248.0,13400
2021-03-18,256.0,256.0,246.0,246.0,246.0,41600
2021-03-19,246.0,256.0,244.0,248.0,248.0,5700
2021-03-22,246.0,254.0,246.0,254.0,254.0,3800
2021-03-23,250.0,254.0,250.0,254.0,254.0,10800
2021-03-24,256.0,256.0,246.0,246.0,246.0,17800
2021-03-25,254.0,254.0,244.0,250.0,250.0,4900
2021-03-26,254.0,254.0,244.0,244.0,244.0,6400
2021-03-29,244.0,254.0,244.0,248.0,248.0,62900
2021-03-30,254.0,254.0,246.0,248.0,248.0,24900
2021-03-31,254.0,254.0,240.0,248.0,248.0,124200
2021-04-01,254.0,254.0,242.0,250.0,250.0,13700
2021-04-05,250.0,256.0,250.0,250.0,250.0,350600
2021-04-06,252.0,254.0,246.0,252.0,252.0,29600
2021-04-07,252.0,280.0,250.0,250.0,250.0,326800
2021-04-08,252.0,276.0,244.0,254.0,254.0,757500
2021-04-09,254.0,256.0,250.0,252.0,252.0,79500
2021-04-12,252.0,256.0,248.0,248.0,248.0,67700
2021-04-13,248.0,250.0,248.0,248.0,248.0,75300
2021-04-14,250.0,264.0,250.0,258.0,258.0,80400
