Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,1260.0,1300.0,1260.0,1285.0,1285.0,6233500
2021-03-02,1285.0,1400.0,1270.0,1385.0,1385.0,58430000
2021-03-03,1390.0,1400.0,1305.0,1360.0,1360.0,35794000
2021-03-04,1360.0,1390.0,1290.0,1300.0,1300.0,20165900
2021-03-05,1290.0,1350.0,1250.0,1285.0,1285.0,18958400
2021-03-08,1285.0,1335.0,1285.0,1325.0,1325.0,11975300
2021-03-09,1330.0,1355.0,1305.0,1325.0,1325.0,10629100
2021-03-10,1325.0,1355.0,1315.0,1330.0,1330.0,7417700
2021-03-12,1340.0,1355.0,1325.0,1350.0,1350.0,11202600
2021-03-15,1355.0,1465.0,1345.0,1465.0,1465.0,40746200
2021-03-16,1475.0,1480.0,1410.0,1410.0,1410.0,15276800
2021-03-17,1415.0,1415.0,1360.0,1360.0,1360.0,10022300
2021-03-18,1360.0,1395.0,1355.0,1370.0,1370.0,7077300
2021-03-19,1370.0,1435.0,1355.0,1415.0,1415.0,16100300
2021-03-22,1420.0,1450.0,1415.0,1425.0,1425.0,8907100
2021-03-23,1430.0,1520.0,1425.0,1475.0,1475.0,31356600
2021-03-24,1470.0,1510.0,1395.0,1410.0,1410.0,18445300
2021-03-25,1410.0,1430.0,1365.0,1410.0,1410.0,7850700
2021-03-26,1420.0,1445.0,1385.0,1395.0,1395.0,6306800
2021-03-29,1400.0,1455.0,1390.0,1410.0,1410.0,8555000
2021-03-30,1420.0,1425.0,1390.0,1395.0,1395.0,7363600
2021-03-31,1395.0,1395.0,1300.0,1340.0,1340.0,24714700
2021-04-01,1340.0,1375.0,1305.0,1375.0,1375.0,5341700
2021-04-05,1380.0,1460.0,1355.0,1425.0,1425.0,13178000
2021-04-06,1425.0,1475.0,1415.0,1425.0,1425.0,10133000
2021-04-07,1430.0,1640.0,1430.0,1615.0,1615.0,48620800
2021-04-08,1605.0,1655.0,1570.0,1580.0,1580.0,18104600
2021-04-09,1580.0,1660.0,1530.0,1530.0,1530.0,33566400
2021-04-12,1540.0,1565.0,1445.0,1450.0,1450.0,18115800
2021-04-13,1445.0,1455.0,1400.0,1430.0,1430.0,11718100
2021-04-14,1440.0,1535.0,1435.0,1515.0,1515.0,19693100
