Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,164.0,190.0,158.0,170.0,170.0,172800
2021-03-02,165.0,170.0,165.0,170.0,170.0,28300
2021-03-03,170.0,175.0,164.0,164.0,164.0,10800
2021-03-04,164.0,164.0,164.0,164.0,164.0,28000
2021-03-05,160.0,175.0,160.0,169.0,169.0,10700
2021-03-08,166.0,166.0,165.0,165.0,165.0,7500
2021-03-09,160.0,187.0,160.0,174.0,174.0,71800
2021-03-10,164.0,175.0,164.0,169.0,169.0,11000
2021-03-12,169.0,218.0,161.0,180.0,180.0,207100
2021-03-15,181.0,185.0,170.0,180.0,180.0,333900
2021-03-16,180.0,180.0,170.0,170.0,170.0,218800
2021-03-17,168.0,190.0,168.0,171.0,171.0,12700
2021-03-18,171.0,179.0,170.0,171.0,171.0,1500
2021-03-19,171.0,230.0,171.0,226.0,226.0,2761800
2021-03-22,226.0,230.0,212.0,212.0,212.0,91700
2021-03-23,198.0,198.0,198.0,198.0,198.0,36900
2021-03-24,185.0,250.0,185.0,199.0,199.0,2271200
2021-03-25,199.0,199.0,186.0,188.0,188.0,189900
2021-03-26,188.0,198.0,180.0,185.0,185.0,121700
2021-03-29,192.0,194.0,180.0,180.0,180.0,85700
2021-03-30,180.0,191.0,178.0,180.0,180.0,113600
2021-03-31,180.0,191.0,180.0,188.0,188.0,123000
2021-04-01,188.0,195.0,176.0,195.0,195.0,117700
2021-04-05,195.0,195.0,185.0,185.0,185.0,68800
2021-04-06,185.0,191.0,185.0,190.0,190.0,5000
2021-04-07,190.0,190.0,183.0,189.0,189.0,6300
2021-04-08,189.0,196.0,187.0,187.0,187.0,18300
2021-04-09,188.0,199.0,182.0,189.0,189.0,151300
2021-04-12,189.0,189.0,183.0,183.0,183.0,60800
2021-04-13,183.0,189.0,176.0,186.0,186.0,88900
2021-04-14,186.0,192.0,186.0,186.0,186.0,59700
