Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,505.0,510.0,496.0,505.0,505.0,189800
2021-03-02,505.0,505.0,494.0,500.0,500.0,128800
2021-03-03,500.0,505.0,500.0,500.0,500.0,52800
2021-03-04,500.0,505.0,500.0,500.0,500.0,259100
2021-03-05,500.0,500.0,500.0,500.0,500.0,106400
2021-03-08,500.0,505.0,500.0,505.0,505.0,27700
2021-03-09,505.0,505.0,498.0,500.0,500.0,85400
2021-03-10,500.0,505.0,500.0,500.0,500.0,38600
2021-03-12,500.0,505.0,500.0,505.0,505.0,122500
2021-03-15,505.0,505.0,498.0,505.0,505.0,131100
2021-03-16,505.0,525.0,500.0,515.0,515.0,775500
2021-03-17,515.0,545.0,510.0,520.0,520.0,285700
2021-03-18,520.0,520.0,505.0,505.0,505.0,167400
2021-03-19,510.0,510.0,498.0,505.0,505.0,280900
2021-03-22,515.0,515.0,505.0,505.0,505.0,32700
2021-03-23,505.0,510.0,500.0,505.0,505.0,20400
2021-03-24,505.0,510.0,496.0,510.0,510.0,311100
2021-03-25,510.0,510.0,494.0,500.0,500.0,156200
2021-03-26,496.0,505.0,496.0,505.0,505.0,4600
2021-03-29,500.0,510.0,500.0,510.0,510.0,172600
2021-03-30,510.0,510.0,500.0,500.0,500.0,12500
2021-03-31,498.0,505.0,492.0,498.0,498.0,254400
2021-04-01,498.0,500.0,490.0,500.0,500.0,67200
2021-04-05,500.0,505.0,500.0,505.0,505.0,279400
2021-04-06,505.0,505.0,500.0,505.0,505.0,46200
2021-04-07,494.0,510.0,494.0,500.0,500.0,365800
2021-04-08,500.0,510.0,500.0,500.0,500.0,41700
2021-04-09,500.0,510.0,496.0,505.0,505.0,164600
2021-04-12,505.0,510.0,500.0,505.0,505.0,35500
2021-04-13,500.0,500.0,498.0,498.0,498.0,14600
2021-04-14,498.0,505.0,498.0,505.0,505.0,25200
