Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,805.0,870.0,785.0,865.0,865.0,42489000
2021-03-02,865.0,880.0,830.0,850.0,850.0,22623100
2021-03-03,850.0,850.0,810.0,820.0,820.0,23467100
2021-03-04,820.0,835.0,800.0,830.0,830.0,18931600
2021-03-05,830.0,875.0,810.0,850.0,850.0,38409400
2021-03-08,860.0,880.0,845.0,860.0,860.0,26820600
2021-03-09,865.0,885.0,840.0,840.0,840.0,17072400
2021-03-10,845.0,850.0,800.0,820.0,820.0,23712400
2021-03-12,830.0,830.0,800.0,815.0,815.0,26868400
2021-03-15,815.0,830.0,805.0,815.0,815.0,32579700
2021-03-16,820.0,820.0,800.0,805.0,805.0,18709200
2021-03-17,810.0,830.0,800.0,810.0,810.0,20323800
2021-03-18,810.0,815.0,785.0,800.0,800.0,23959900
2021-03-19,800.0,815.0,790.0,800.0,800.0,14267400
2021-03-22,800.0,815.0,795.0,795.0,795.0,17129900
2021-03-23,795.0,810.0,790.0,790.0,790.0,19986700
2021-03-24,780.0,795.0,750.0,775.0,775.0,15948500
2021-03-25,775.0,775.0,730.0,755.0,755.0,23561600
2021-03-26,755.0,775.0,740.0,765.0,765.0,18570300
2021-03-29,765.0,775.0,765.0,770.0,770.0,6677100
2021-03-30,775.0,780.0,740.0,750.0,750.0,23378900
2021-03-31,755.0,755.0,700.0,740.0,740.0,40573000
2021-04-01,740.0,750.0,730.0,745.0,745.0,4242900
2021-04-05,745.0,760.0,745.0,750.0,750.0,4585000
2021-04-06,755.0,760.0,740.0,760.0,760.0,8297700
2021-04-07,770.0,800.0,755.0,790.0,790.0,30619500
2021-04-08,790.0,810.0,770.0,805.0,805.0,20588900
2021-04-09,805.0,810.0,790.0,800.0,800.0,13343400
2021-04-12,810.0,810.0,765.0,790.0,790.0,11569400
2021-04-13,790.0,790.0,745.0,780.0,780.0,14769700
2021-04-14,780.0,800.0,765.0,790.0,790.0,26179400
