Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,96.0,105.0,96.0,99.0,99.0,33400
2021-03-02,102.0,102.0,98.0,99.0,99.0,36900
2021-03-03,99.0,100.0,97.0,100.0,100.0,18400
2021-03-04,100.0,104.0,95.0,100.0,100.0,57700
2021-03-05,95.0,103.0,95.0,101.0,101.0,128100
2021-03-08,100.0,101.0,98.0,100.0,100.0,12200
2021-03-09,95.0,101.0,95.0,100.0,100.0,10100
2021-03-10,95.0,100.0,95.0,99.0,99.0,37500
2021-03-12,99.0,106.0,99.0,100.0,100.0,35300
2021-03-15,100.0,108.0,100.0,102.0,102.0,34700
2021-03-16,97.0,99.0,96.0,99.0,99.0,16000
2021-03-17,99.0,133.0,99.0,133.0,133.0,1316100
2021-03-18,135.0,146.0,124.0,124.0,124.0,700000
2021-03-19,123.0,124.0,116.0,116.0,116.0,268100
2021-03-22,111.0,119.0,108.0,115.0,115.0,207900
2021-03-23,114.0,114.0,111.0,113.0,113.0,29000
2021-03-24,108.0,115.0,106.0,107.0,107.0,53900
2021-03-25,102.0,117.0,102.0,117.0,117.0,117900
2021-03-26,118.0,125.0,117.0,118.0,118.0,207000
2021-03-29,118.0,120.0,113.0,114.0,114.0,7900
2021-03-30,117.0,117.0,109.0,111.0,111.0,48700
2021-03-31,111.0,117.0,111.0,112.0,112.0,4800
2021-04-01,114.0,121.0,111.0,116.0,116.0,7900
2021-04-05,111.0,113.0,111.0,113.0,113.0,45400
2021-04-06,113.0,113.0,111.0,112.0,112.0,14100
2021-04-07,112.0,112.0,112.0,112.0,112.0,11000
2021-04-08,111.0,114.0,111.0,114.0,114.0,35600
2021-04-09,115.0,122.0,115.0,120.0,120.0,85800
2021-04-12,122.0,123.0,115.0,122.0,122.0,31500
2021-04-13,121.0,121.0,114.0,114.0,114.0,360700
2021-04-14,114.0,114.0,107.0,107.0,107.0,252400
