Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,248.0,250.0,244.0,248.0,248.0,1496000
2021-03-02,248.0,248.0,240.0,240.0,240.0,1782300
2021-03-03,240.0,244.0,234.0,240.0,240.0,988000
2021-03-04,244.0,248.0,236.0,236.0,236.0,465900
2021-03-05,236.0,238.0,226.0,230.0,230.0,1723200
2021-03-08,230.0,244.0,224.0,226.0,226.0,1337800
2021-03-09,226.0,226.0,212.0,214.0,214.0,3767200
2021-03-10,214.0,226.0,214.0,220.0,220.0,834500
2021-03-12,224.0,226.0,222.0,222.0,222.0,499300
2021-03-15,224.0,226.0,222.0,226.0,226.0,437900
2021-03-16,230.0,236.0,226.0,230.0,230.0,1818500
2021-03-17,230.0,232.0,226.0,228.0,228.0,318100
2021-03-18,224.0,250.0,224.0,230.0,230.0,3600600
2021-03-19,232.0,246.0,214.0,240.0,240.0,7756500
2021-03-22,240.0,242.0,232.0,238.0,238.0,932000
2021-03-23,238.0,240.0,224.0,224.0,224.0,2953300
2021-03-24,224.0,226.0,216.0,224.0,224.0,1737100
2021-03-25,224.0,224.0,210.0,214.0,214.0,2827000
2021-03-26,216.0,220.0,212.0,220.0,220.0,547500
2021-03-29,220.0,234.0,218.0,224.0,224.0,2147800
2021-03-30,226.0,228.0,216.0,220.0,220.0,629200
2021-03-31,220.0,220.0,214.0,216.0,216.0,516300
2021-04-01,218.0,222.0,216.0,220.0,220.0,911200
2021-04-05,220.0,228.0,214.0,220.0,220.0,2217400
2021-04-06,220.0,224.0,214.0,214.0,214.0,1346300
2021-04-07,214.0,220.0,212.0,218.0,218.0,1649800
2021-04-08,220.0,230.0,214.0,220.0,220.0,4712500
2021-04-09,224.0,226.0,216.0,220.0,220.0,2280400
2021-04-12,226.0,234.0,218.0,220.0,220.0,4496400
2021-04-13,220.0,224.0,212.0,212.0,212.0,2575000
2021-04-14,212.0,218.0,212.0,214.0,214.0,1463200
