Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,157.0,162.0,155.0,159.0,159.0,23066700
2021-03-02,159.0,160.0,156.0,157.0,157.0,7475900
2021-03-03,157.0,161.0,155.0,159.0,159.0,11683000
2021-03-04,159.0,160.0,152.0,155.0,155.0,10523700
2021-03-05,153.0,155.0,151.0,153.0,153.0,8875200
2021-03-08,153.0,155.0,152.0,152.0,152.0,5110700
2021-03-09,152.0,153.0,148.0,150.0,150.0,9602000
2021-03-10,150.0,151.0,146.0,150.0,150.0,9541200
2021-03-12,150.0,154.0,149.0,151.0,151.0,8383000
2021-03-15,151.0,161.0,150.0,156.0,156.0,31708900
2021-03-16,158.0,164.0,156.0,159.0,159.0,50308500
2021-03-17,161.0,163.0,153.0,155.0,155.0,23953100
2021-03-18,156.0,158.0,154.0,157.0,157.0,10260300
2021-03-19,157.0,161.0,154.0,160.0,160.0,22934200
2021-03-22,162.0,163.0,158.0,158.0,158.0,12165300
2021-03-23,158.0,160.0,155.0,155.0,155.0,9054800
2021-03-24,154.0,156.0,150.0,150.0,150.0,9599100
2021-03-25,150.0,151.0,144.0,147.0,147.0,15158100
2021-03-26,147.0,150.0,146.0,149.0,149.0,4089200
2021-03-29,150.0,157.0,150.0,150.0,150.0,11767000
2021-03-30,150.0,152.0,146.0,147.0,147.0,5757600
2021-03-31,147.0,150.0,144.0,145.0,145.0,9709000
2021-04-01,147.0,149.0,143.0,145.0,145.0,4604600
2021-04-05,146.0,147.0,144.0,145.0,145.0,4409000
2021-04-06,145.0,145.0,141.0,145.0,145.0,5208600
2021-04-07,145.0,146.0,142.0,144.0,144.0,4401000
2021-04-08,144.0,146.0,143.0,144.0,144.0,3449300
2021-04-09,144.0,148.0,144.0,147.0,147.0,1940100
2021-04-12,147.0,147.0,143.0,144.0,144.0,3774200
2021-04-13,144.0,145.0,140.0,142.0,142.0,4350600
2021-04-14,142.0,144.0,140.0,141.0,141.0,2693700
