Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,610.0,615.0,600.0,600.0,600.0,77500
2021-03-02,605.0,625.0,600.0,625.0,625.0,87800
2021-03-03,670.0,670.0,615.0,640.0,640.0,78500
2021-03-04,680.0,680.0,615.0,620.0,620.0,83800
2021-03-05,635.0,640.0,620.0,625.0,625.0,98800
2021-03-08,630.0,650.0,620.0,620.0,620.0,17700
2021-03-09,620.0,630.0,615.0,615.0,615.0,23100
2021-03-10,620.0,650.0,620.0,620.0,620.0,37700
2021-03-12,620.0,650.0,620.0,650.0,650.0,73700
2021-03-15,660.0,660.0,635.0,645.0,645.0,129800
2021-03-16,645.0,655.0,635.0,650.0,650.0,84200
2021-03-17,645.0,655.0,640.0,655.0,655.0,36100
2021-03-18,650.0,695.0,650.0,680.0,680.0,198600
2021-03-19,680.0,695.0,675.0,685.0,685.0,49800
2021-03-22,690.0,695.0,675.0,690.0,690.0,113100
2021-03-23,690.0,700.0,685.0,690.0,690.0,155400
2021-03-24,690.0,700.0,685.0,695.0,695.0,154100
2021-03-25,700.0,700.0,690.0,695.0,695.0,16000
2021-03-26,695.0,715.0,690.0,690.0,690.0,384000
2021-03-29,690.0,705.0,690.0,695.0,695.0,47000
2021-03-30,695.0,700.0,695.0,695.0,695.0,48500
2021-03-31,695.0,695.0,665.0,685.0,685.0,30700
2021-04-01,680.0,700.0,680.0,680.0,680.0,73200
2021-04-05,680.0,690.0,640.0,685.0,685.0,112200
2021-04-06,680.0,695.0,670.0,690.0,690.0,120800
2021-04-07,695.0,725.0,690.0,715.0,715.0,63800
2021-04-08,720.0,720.0,700.0,720.0,720.0,63500
2021-04-09,715.0,725.0,715.0,715.0,715.0,47500
2021-04-12,715.0,735.0,700.0,705.0,705.0,143400
2021-04-13,695.0,720.0,660.0,720.0,720.0,131800
2021-04-14,690.0,690.0,670.0,675.0,675.0,109300
