Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,770.0,785.0,770.0,775.0,775.0,2311800
2021-03-02,770.0,775.0,770.0,770.0,770.0,1518400
2021-03-03,770.0,775.0,760.0,765.0,765.0,2025900
2021-03-04,765.0,770.0,760.0,760.0,760.0,1507800
2021-03-05,755.0,780.0,750.0,755.0,755.0,1502700
2021-03-08,755.0,765.0,755.0,760.0,760.0,1827800
2021-03-09,760.0,765.0,755.0,755.0,755.0,1781300
2021-03-10,760.0,760.0,755.0,755.0,755.0,1904400
2021-03-12,760.0,770.0,755.0,755.0,755.0,1876200
2021-03-15,755.0,770.0,755.0,770.0,770.0,2531100
2021-03-16,770.0,780.0,760.0,765.0,765.0,2242100
2021-03-17,765.0,770.0,765.0,765.0,765.0,2444900
2021-03-18,770.0,780.0,770.0,770.0,770.0,1880400
2021-03-19,770.0,770.0,765.0,770.0,770.0,2337600
2021-03-22,770.0,770.0,760.0,770.0,770.0,1836900
2021-03-23,770.0,775.0,760.0,765.0,765.0,2456600
2021-03-24,765.0,765.0,760.0,760.0,760.0,1889300
2021-03-25,760.0,760.0,750.0,760.0,760.0,2193500
2021-03-26,760.0,765.0,755.0,765.0,765.0,1828900
2021-03-29,760.0,760.0,755.0,760.0,760.0,1600400
2021-03-30,760.0,765.0,750.0,755.0,755.0,2115100
2021-03-31,755.0,755.0,735.0,735.0,735.0,1744100
2021-04-01,735.0,755.0,735.0,755.0,755.0,2013200
2021-04-05,755.0,755.0,750.0,750.0,750.0,1685700
2021-04-06,750.0,760.0,750.0,750.0,750.0,1559200
2021-04-07,750.0,755.0,750.0,755.0,755.0,1911600
2021-04-08,750.0,765.0,745.0,745.0,745.0,1642700
2021-04-09,750.0,755.0,745.0,750.0,750.0,1404100
2021-04-12,750.0,755.0,745.0,750.0,750.0,10108100
2021-04-13,750.0,755.0,740.0,750.0,750.0,13629600
2021-04-14,750.0,780.0,750.0,775.0,775.0,13790000
