Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,2990.0,3000.0,2930.0,2950.0,2950.0,18690400
2021-03-02,2950.0,2970.0,2890.0,2920.0,2920.0,19855100
2021-03-03,2940.0,2980.0,2920.0,2930.0,2930.0,17134300
2021-03-04,2930.0,2930.0,2750.0,2790.0,2790.0,23047100
2021-03-05,2760.0,2840.0,2660.0,2720.0,2720.0,27321400
2021-03-08,2750.0,2920.0,2720.0,2910.0,2910.0,28499200
2021-03-09,2910.0,2930.0,2710.0,2720.0,2720.0,30817800
2021-03-10,2730.0,2790.0,2720.0,2760.0,2760.0,29124100
2021-03-12,2790.0,2840.0,2760.0,2830.0,2830.0,24297900
2021-03-15,2830.0,2890.0,2820.0,2850.0,2850.0,22461700
2021-03-16,2860.0,3000.0,2840.0,2950.0,2950.0,34904400
2021-03-17,2960.0,2980.0,2870.0,2890.0,2890.0,23430900
2021-03-18,2900.0,2980.0,2900.0,2950.0,2950.0,17275200
2021-03-19,2950.0,2960.0,2870.0,2890.0,2890.0,16918700
2021-03-22,2890.0,3010.0,2890.0,2940.0,2940.0,26802800
2021-03-23,2940.0,2970.0,2780.0,2830.0,2830.0,22416500
2021-03-24,2830.0,2840.0,2760.0,2780.0,2780.0,16427800
2021-03-25,2790.0,2800.0,2720.0,2770.0,2770.0,16127500
2021-03-26,2780.0,2810.0,2700.0,2750.0,2750.0,20998400
2021-03-29,2780.0,2780.0,2670.0,2720.0,2720.0,34265900
2021-03-30,2700.0,2740.0,2620.0,2650.0,2650.0,32675600
2021-03-31,2660.0,2680.0,2570.0,2630.0,2630.0,23104300
2021-04-01,2630.0,2660.0,2560.0,2600.0,2600.0,25759300
2021-04-05,2610.0,2630.0,2580.0,2610.0,2610.0,19980500
2021-04-06,2580.0,2640.0,2510.0,2550.0,2550.0,23647800
2021-04-07,2550.0,2620.0,2540.0,2570.0,2570.0,23630500
2021-04-08,2570.0,2680.0,2550.0,2610.0,2610.0,25700700
2021-04-09,2660.0,2660.0,2560.0,2590.0,2590.0,27100800
2021-04-12,2600.0,2670.0,2570.0,2600.0,2600.0,24199100
2021-04-13,2600.0,2630.0,2580.0,2620.0,2620.0,22861800
2021-04-14,2630.0,2680.0,2600.0,2670.0,2670.0,22803600
