Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,58.0,58.0,55.0,58.0,58.0,2275800
2021-03-02,58.0,66.0,55.0,63.0,63.0,13831100
2021-03-03,64.0,69.0,60.0,60.0,60.0,11070900
2021-03-04,58.0,61.0,56.0,59.0,59.0,4038200
2021-03-05,55.0,60.0,55.0,55.0,55.0,3932800
2021-03-08,55.0,63.0,54.0,57.0,57.0,4912200
2021-03-09,54.0,61.0,54.0,55.0,55.0,3160100
2021-03-10,52.0,57.0,52.0,56.0,56.0,1656400
2021-03-12,53.0,57.0,53.0,56.0,56.0,1684000
2021-03-15,53.0,56.0,53.0,54.0,54.0,770900
2021-03-16,53.0,63.0,53.0,58.0,58.0,27281500
2021-03-17,56.0,64.0,55.0,58.0,58.0,14464000
2021-03-18,58.0,61.0,57.0,58.0,58.0,4204100
2021-03-19,57.0,63.0,57.0,59.0,59.0,11212400
2021-03-22,56.0,79.0,56.0,70.0,70.0,140736900
2021-03-23,70.0,71.0,66.0,66.0,66.0,4131000
2021-03-24,62.0,72.0,62.0,62.0,62.0,42476300
2021-03-25,60.0,69.0,58.0,63.0,63.0,18998100
2021-03-26,59.0,82.0,59.0,64.0,64.0,171070900
2021-03-29,65.0,82.0,61.0,79.0,79.0,164336500
2021-03-30,84.0,88.0,74.0,74.0,74.0,35003000
2021-03-31,75.0,79.0,69.0,72.0,72.0,28032300
2021-04-01,72.0,74.0,69.0,70.0,70.0,5457500
2021-04-05,70.0,78.0,68.0,74.0,74.0,30669900
2021-04-06,77.0,96.0,75.0,84.0,84.0,178619700
2021-04-07,85.0,86.0,79.0,79.0,79.0,21250200
2021-04-08,79.0,80.0,76.0,78.0,78.0,6975600
2021-04-09,79.0,90.0,79.0,84.0,84.0,59263200
2021-04-12,84.0,88.0,80.0,84.0,84.0,43253200
2021-04-13,84.0,92.0,82.0,82.0,82.0,33659400
2021-04-14,83.0,91.0,81.0,86.0,86.0,60273000
