Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,655.0,745.0,635.0,710.0,710.0,4913800
2021-03-02,715.0,720.0,695.0,710.0,710.0,3838700
2021-03-03,705.0,715.0,685.0,705.0,705.0,4133500
2021-03-04,705.0,715.0,690.0,715.0,715.0,4883900
2021-03-05,720.0,810.0,700.0,715.0,715.0,9024100
2021-03-08,720.0,730.0,665.0,670.0,670.0,6579600
2021-03-09,655.0,680.0,650.0,665.0,665.0,4152300
2021-03-10,670.0,675.0,645.0,670.0,670.0,4069600
2021-03-12,675.0,680.0,650.0,660.0,660.0,3965300
2021-03-15,660.0,665.0,645.0,645.0,645.0,5653200
2021-03-16,645.0,655.0,630.0,655.0,655.0,5248400
2021-03-17,655.0,670.0,655.0,660.0,660.0,5503700
2021-03-18,665.0,670.0,650.0,655.0,655.0,5065600
2021-03-19,660.0,665.0,645.0,645.0,645.0,5179600
2021-03-22,650.0,655.0,635.0,650.0,650.0,5856800
2021-03-23,645.0,665.0,645.0,660.0,660.0,4538100
2021-03-24,665.0,670.0,650.0,650.0,650.0,4282200
2021-03-25,655.0,660.0,645.0,645.0,645.0,4547500
2021-03-26,650.0,655.0,645.0,645.0,645.0,4028700
2021-03-29,650.0,665.0,630.0,665.0,665.0,3974100
2021-03-30,670.0,670.0,660.0,670.0,670.0,3899500
2021-03-31,670.0,690.0,670.0,680.0,680.0,3806200
2021-04-01,685.0,690.0,655.0,670.0,670.0,3324900
2021-04-05,675.0,680.0,650.0,650.0,650.0,3738500
2021-04-06,650.0,655.0,635.0,635.0,635.0,3880300
2021-04-07,640.0,645.0,620.0,620.0,620.0,3573900
2021-04-08,625.0,630.0,605.0,630.0,630.0,3966400
2021-04-09,635.0,645.0,630.0,635.0,635.0,3796300
2021-04-12,635.0,640.0,610.0,620.0,620.0,4282600
2021-04-13,625.0,625.0,590.0,605.0,605.0,4315200
2021-04-14,595.0,620.0,590.0,620.0,620.0,5346600
