Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,72.0,74.0,69.0,72.0,72.0,24368500
2021-03-02,74.0,97.0,71.0,97.0,97.0,491462800
2021-03-03,105.0,112.0,91.0,96.0,96.0,488272000
2021-03-04,96.0,99.0,90.0,94.0,94.0,111513000
2021-03-05,91.0,120.0,89.0,107.0,107.0,698814500
2021-03-08,107.0,115.0,100.0,113.0,113.0,182811100
2021-03-09,115.0,117.0,106.0,110.0,110.0,250248500
2021-03-10,110.0,111.0,104.0,107.0,107.0,47763500
2021-03-12,107.0,113.0,102.0,111.0,111.0,126984500
2021-03-15,112.0,114.0,107.0,110.0,110.0,31970300
2021-03-16,110.0,113.0,106.0,107.0,107.0,15433400
2021-03-17,107.0,110.0,104.0,105.0,105.0,38104200
2021-03-18,105.0,120.0,105.0,112.0,112.0,220660200
2021-03-19,113.0,113.0,106.0,107.0,107.0,79605900
2021-03-22,107.0,110.0,105.0,106.0,106.0,65804800
2021-03-23,106.0,109.0,100.0,104.0,104.0,79323000
2021-03-24,105.0,105.0,97.0,103.0,103.0,38838000
2021-03-25,99.0,104.0,97.0,100.0,100.0,37950400
2021-03-26,100.0,104.0,99.0,104.0,104.0,31914400
2021-03-29,104.0,106.0,102.0,104.0,104.0,14309900
2021-03-30,104.0,107.0,103.0,105.0,105.0,68502400
2021-03-31,106.0,106.0,98.0,105.0,105.0,69300100
2021-04-01,105.0,112.0,103.0,112.0,112.0,71740100
2021-04-05,113.0,134.0,110.0,129.0,129.0,476220800
2021-04-06,130.0,135.0,120.0,131.0,131.0,335299900
2021-04-07,131.0,167.0,126.0,161.0,161.0,515894200
2021-04-08,162.0,167.0,151.0,155.0,155.0,186698300
2021-04-09,155.0,184.0,150.0,172.0,172.0,754647300
2021-04-12,172.0,190.0,166.0,179.0,179.0,372799000
2021-04-13,180.0,185.0,167.0,168.0,168.0,247268000
2021-04-14,168.0,182.0,165.0,165.0,165.0,412404800
