Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,338.0,338.0,330.0,332.0,332.0,5946800
2021-03-02,334.0,338.0,316.0,328.0,328.0,8309500
2021-03-03,316.0,328.0,314.0,328.0,328.0,1129800
2021-03-04,328.0,328.0,314.0,320.0,320.0,867200
2021-03-05,316.0,322.0,312.0,320.0,320.0,5180900
2021-03-08,326.0,334.0,316.0,318.0,318.0,1719800
2021-03-09,320.0,320.0,304.0,304.0,304.0,1478700
2021-03-10,304.0,312.0,300.0,308.0,308.0,1781900
2021-03-12,310.0,318.0,308.0,312.0,312.0,3374600
2021-03-15,312.0,320.0,310.0,310.0,310.0,1814500
2021-03-16,312.0,312.0,302.0,302.0,302.0,4019800
2021-03-17,302.0,314.0,302.0,310.0,310.0,4152900
2021-03-18,312.0,328.0,310.0,320.0,320.0,5502900
2021-03-19,322.0,322.0,314.0,314.0,314.0,1428600
2021-03-22,314.0,336.0,314.0,328.0,328.0,5498100
2021-03-23,328.0,346.0,326.0,346.0,346.0,7801400
2021-03-24,350.0,394.0,342.0,374.0,374.0,30865700
2021-03-25,374.0,376.0,348.0,354.0,354.0,6651800
2021-03-26,356.0,376.0,344.0,376.0,376.0,4728600
2021-03-29,380.0,380.0,352.0,358.0,358.0,3475500
2021-03-30,360.0,370.0,342.0,370.0,370.0,4885500
2021-03-31,370.0,370.0,346.0,352.0,352.0,2895800
2021-04-01,352.0,374.0,350.0,370.0,370.0,7802800
2021-04-05,372.0,380.0,370.0,376.0,376.0,5634600
2021-04-06,376.0,378.0,372.0,376.0,376.0,5441300
2021-04-07,378.0,410.0,376.0,404.0,404.0,16441100
2021-04-08,404.0,430.0,398.0,420.0,420.0,3729800
2021-04-09,420.0,430.0,404.0,406.0,406.0,2741400
2021-04-12,406.0,408.0,396.0,398.0,398.0,3592000
2021-04-13,398.0,406.0,380.0,384.0,384.0,2921800
2021-04-14,384.0,406.0,384.0,396.0,396.0,1921800
