Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,1150.0,1175.0,1110.0,1115.0,1115.0,89770400
2021-03-02,1120.0,1130.0,1100.0,1100.0,1100.0,28821300
2021-03-03,1105.0,1160.0,1090.0,1140.0,1140.0,57799600
2021-03-04,1140.0,1145.0,1090.0,1105.0,1105.0,31767800
2021-03-05,1095.0,1100.0,1075.0,1090.0,1090.0,22180000
2021-03-08,1090.0,1105.0,1040.0,1070.0,1070.0,45481800
2021-03-09,1080.0,1080.0,1050.0,1070.0,1070.0,22836000
2021-03-10,1070.0,1095.0,1060.0,1080.0,1080.0,19691000
2021-03-12,1090.0,1095.0,1080.0,1085.0,1085.0,25623000
2021-03-15,1075.0,1090.0,1055.0,1065.0,1065.0,47611000
2021-03-16,1065.0,1065.0,1055.0,1060.0,1060.0,12751400
2021-03-17,1060.0,1065.0,1030.0,1050.0,1050.0,28090300
2021-03-18,1050.0,1070.0,1045.0,1050.0,1050.0,20021300
2021-03-19,1050.0,1060.0,1030.0,1040.0,1040.0,21877400
2021-03-22,1050.0,1065.0,1040.0,1055.0,1055.0,26909300
2021-03-23,1065.0,1075.0,1030.0,1035.0,1035.0,33963200
2021-03-24,1030.0,1050.0,1015.0,1025.0,1025.0,31351200
2021-03-25,1020.0,1035.0,1010.0,1015.0,1015.0,20990900
2021-03-26,1025.0,1045.0,1005.0,1040.0,1040.0,33178600
2021-03-29,1040.0,1045.0,1020.0,1020.0,1020.0,19656200
2021-03-30,1025.0,1030.0,975.0,985.0,985.0,54117900
2021-03-31,985.0,1000.0,940.0,955.0,955.0,74559500
2021-04-01,965.0,975.0,920.0,940.0,940.0,73357000
2021-04-05,940.0,960.0,930.0,935.0,935.0,34495800
2021-04-06,950.0,950.0,930.0,940.0,940.0,16833500
2021-04-07,945.0,950.0,915.0,940.0,940.0,43505000
2021-04-08,950.0,985.0,945.0,980.0,980.0,53937400
2021-04-09,985.0,990.0,970.0,970.0,970.0,11537900
2021-04-12,975.0,980.0,935.0,950.0,950.0,20220800
2021-04-13,955.0,960.0,940.0,950.0,950.0,16886400
2021-04-14,955.0,985.0,950.0,980.0,980.0,39965000
