Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,535.0,545.0,525.0,540.0,540.0,23114000
2021-03-02,540.0,545.0,530.0,535.0,535.0,10644600
2021-03-03,535.0,545.0,530.0,535.0,535.0,17380300
2021-03-04,535.0,540.0,530.0,535.0,535.0,11706800
2021-03-05,535.0,540.0,525.0,540.0,540.0,16472400
2021-03-08,540.0,540.0,530.0,535.0,535.0,10513500
2021-03-09,535.0,540.0,530.0,535.0,535.0,15883900
2021-03-10,535.0,550.0,530.0,550.0,550.0,24861800
2021-03-12,550.0,580.0,550.0,560.0,560.0,31704900
2021-03-15,565.0,575.0,540.0,545.0,545.0,26983300
2021-03-16,550.0,555.0,545.0,545.0,545.0,12079700
2021-03-17,550.0,555.0,540.0,545.0,545.0,8474900
2021-03-18,545.0,550.0,540.0,545.0,545.0,16372000
2021-03-19,545.0,550.0,535.0,540.0,540.0,14034800
2021-03-22,540.0,550.0,535.0,545.0,545.0,14892100
2021-03-23,550.0,555.0,540.0,550.0,550.0,16788700
2021-03-24,550.0,560.0,540.0,560.0,560.0,24551100
2021-03-25,560.0,565.0,555.0,565.0,565.0,16035400
2021-03-26,565.0,610.0,565.0,595.0,595.0,69695900
2021-03-29,600.0,610.0,585.0,585.0,585.0,29480000
2021-03-30,580.0,590.0,560.0,570.0,570.0,29434400
2021-03-31,575.0,580.0,550.0,565.0,565.0,18595600
2021-04-01,560.0,575.0,550.0,555.0,555.0,21537300
2021-04-05,560.0,580.0,560.0,565.0,565.0,16299300
2021-04-06,570.0,575.0,565.0,570.0,570.0,10016700
2021-04-07,580.0,600.0,570.0,585.0,585.0,22835100
2021-04-08,590.0,595.0,575.0,585.0,585.0,9007900
2021-04-09,585.0,585.0,560.0,570.0,570.0,12318000
2021-04-12,570.0,580.0,560.0,565.0,565.0,14831400
2021-04-13,555.0,570.0,550.0,550.0,550.0,11151700
2021-04-14,550.0,590.0,550.0,575.0,575.0,25689100
