Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,51.0,51.0,50.0,51.0,51.0,2247500
2021-03-02,51.0,51.0,50.0,50.0,50.0,4293400
2021-03-03,50.0,51.0,50.0,50.0,50.0,303100
2021-03-04,51.0,51.0,50.0,51.0,51.0,1665000
2021-03-05,50.0,51.0,50.0,51.0,51.0,899600
2021-03-08,50.0,51.0,50.0,51.0,51.0,1425100
2021-03-09,51.0,51.0,50.0,50.0,50.0,1232000
2021-03-10,50.0,51.0,50.0,51.0,51.0,438000
2021-03-12,51.0,51.0,50.0,50.0,50.0,1665000
2021-03-15,50.0,51.0,50.0,51.0,51.0,256200
2021-03-16,51.0,51.0,50.0,50.0,50.0,277000
2021-03-17,50.0,67.0,50.0,67.0,67.0,55656600
2021-03-18,75.0,90.0,70.0,90.0,90.0,53839300
2021-03-19,100.0,120.0,84.0,84.0,84.0,110187200
2021-03-22,107.0,107.0,79.0,79.0,79.0,4117200
2021-03-23,79.0,105.0,74.0,88.0,88.0,71248500
2021-03-24,89.0,97.0,82.0,82.0,82.0,30202500
2021-03-25,77.0,86.0,77.0,79.0,79.0,7398300
2021-03-26,81.0,97.0,79.0,80.0,80.0,36831200
2021-03-29,81.0,86.0,80.0,82.0,82.0,8686600
2021-03-30,92.0,105.0,83.0,87.0,87.0,61263400
2021-03-31,88.0,95.0,82.0,89.0,89.0,19612800
2021-04-01,99.0,103.0,86.0,87.0,87.0,34705400
2021-04-05,87.0,90.0,82.0,85.0,85.0,4469800
2021-04-06,85.0,96.0,83.0,88.0,88.0,30412100
2021-04-07,89.0,100.0,86.0,99.0,99.0,33701400
2021-04-08,105.0,110.0,98.0,99.0,99.0,24534200
2021-04-09,99.0,100.0,94.0,95.0,95.0,6778300
2021-04-12,100.0,114.0,98.0,103.0,103.0,72088100
2021-04-13,103.0,118.0,97.0,110.0,110.0,68484600
2021-04-14,112.0,148.0,112.0,148.0,148.0,118648200
