Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,129.0,138.0,127.0,135.0,135.0,37226200
2021-03-02,136.0,182.0,127.0,182.0,182.0,96836600
2021-03-03,200.0,216.0,170.0,182.0,182.0,153317200
2021-03-04,182.0,190.0,171.0,180.0,180.0,30108100
2021-03-05,178.0,236.0,177.0,220.0,220.0,178133400
2021-03-08,224.0,252.0,210.0,252.0,252.0,90758500
2021-03-09,258.0,276.0,236.0,252.0,252.0,115886300
2021-03-10,252.0,262.0,240.0,254.0,254.0,19105400
2021-03-12,260.0,288.0,256.0,260.0,260.0,62204700
2021-03-15,260.0,268.0,242.0,256.0,256.0,26862700
2021-03-16,250.0,262.0,248.0,248.0,248.0,10839100
2021-03-17,248.0,258.0,242.0,250.0,250.0,18563800
2021-03-18,250.0,284.0,248.0,266.0,266.0,180750100
2021-03-19,268.0,276.0,254.0,276.0,276.0,109358500
2021-03-22,276.0,282.0,258.0,260.0,260.0,64856200
2021-03-23,260.0,264.0,250.0,254.0,254.0,18570700
2021-03-24,254.0,254.0,238.0,242.0,242.0,25318300
2021-03-25,240.0,252.0,226.0,230.0,230.0,49170200
2021-03-26,230.0,236.0,222.0,234.0,234.0,13182800
2021-03-29,236.0,236.0,228.0,234.0,234.0,8136700
2021-03-30,232.0,258.0,228.0,256.0,256.0,66637300
2021-03-31,258.0,260.0,240.0,254.0,254.0,45689000
2021-04-01,254.0,298.0,248.0,298.0,298.0,151560600
2021-04-05,300.0,364.0,294.0,362.0,362.0,274865200
2021-04-06,380.0,440.0,354.0,430.0,430.0,397281100
2021-04-07,440.0,492.0,422.0,484.0,484.0,193150800
2021-04-08,484.0,515.0,470.0,470.0,470.0,95789000
2021-04-09,470.0,585.0,438.0,585.0,585.0,237156200
2021-04-12,585.0,585.0,585.0,585.0,585.0,0
2021-04-13,590.0,665.0,545.0,600.0,600.0,126817800
2021-04-14,600.0,740.0,585.0,665.0,665.0,190968700
