Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,171.0,179.0,169.0,170.0,170.0,2952200
2021-03-02,172.0,174.0,165.0,170.0,170.0,607700
2021-03-03,170.0,173.0,168.0,172.0,172.0,290800
2021-03-04,174.0,175.0,165.0,171.0,171.0,1092600
2021-03-05,172.0,230.0,169.0,230.0,230.0,28307200
2021-03-08,246.0,254.0,214.0,214.0,214.0,11878400
2021-03-09,200.0,230.0,200.0,200.0,200.0,5157300
2021-03-10,200.0,216.0,190.0,200.0,200.0,1842600
2021-03-12,200.0,214.0,196.0,206.0,206.0,331400
2021-03-15,206.0,210.0,202.0,204.0,204.0,464200
2021-03-16,204.0,210.0,196.0,200.0,200.0,626600
2021-03-17,196.0,208.0,196.0,208.0,208.0,282500
2021-03-18,208.0,232.0,204.0,216.0,216.0,2844600
2021-03-19,218.0,218.0,208.0,216.0,216.0,582400
2021-03-22,216.0,226.0,204.0,220.0,220.0,2051800
2021-03-23,222.0,222.0,218.0,218.0,218.0,99400
2021-03-24,212.0,226.0,208.0,216.0,216.0,2133900
2021-03-25,218.0,226.0,214.0,220.0,220.0,263500
2021-03-26,222.0,224.0,214.0,220.0,220.0,100000
2021-03-29,220.0,238.0,214.0,230.0,230.0,2457500
2021-03-30,230.0,234.0,216.0,218.0,218.0,672300
2021-03-31,218.0,222.0,212.0,216.0,216.0,327100
2021-04-01,216.0,216.0,210.0,216.0,216.0,200300
2021-04-05,216.0,222.0,212.0,216.0,216.0,198200
2021-04-06,216.0,216.0,214.0,214.0,214.0,63900
2021-04-07,214.0,228.0,212.0,220.0,220.0,578300
2021-04-08,222.0,226.0,218.0,220.0,220.0,91600
2021-04-09,220.0,224.0,220.0,224.0,224.0,82200
2021-04-12,224.0,224.0,218.0,220.0,220.0,85200
2021-04-13,216.0,216.0,206.0,214.0,214.0,247600
2021-04-14,214.0,214.0,200.0,210.0,210.0,525600
