Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,184.0,187.0,177.0,179.0,179.0,10807900
2021-03-02,180.0,180.0,174.0,178.0,178.0,5940600
2021-03-03,180.0,188.0,175.0,178.0,178.0,13660300
2021-03-04,178.0,184.0,173.0,176.0,176.0,21407200
2021-03-05,176.0,178.0,170.0,175.0,175.0,4337100
2021-03-08,175.0,176.0,170.0,173.0,173.0,3932100
2021-03-09,173.0,173.0,168.0,171.0,171.0,5461100
2021-03-10,169.0,173.0,168.0,171.0,171.0,3026800
2021-03-12,172.0,174.0,170.0,171.0,171.0,4392800
2021-03-15,171.0,172.0,168.0,172.0,172.0,3699200
2021-03-16,172.0,173.0,168.0,171.0,171.0,3796900
2021-03-17,172.0,172.0,167.0,171.0,171.0,4150500
2021-03-18,171.0,171.0,167.0,169.0,169.0,5316100
2021-03-19,169.0,169.0,167.0,168.0,168.0,2547000
2021-03-22,168.0,169.0,164.0,164.0,164.0,5835200
2021-03-23,165.0,169.0,161.0,163.0,163.0,11543600
2021-03-24,163.0,163.0,153.0,158.0,158.0,3587200
2021-03-25,158.0,162.0,155.0,158.0,158.0,3200500
2021-03-26,160.0,160.0,155.0,159.0,159.0,1516900
2021-03-29,159.0,160.0,156.0,158.0,158.0,2268600
2021-03-30,159.0,159.0,150.0,151.0,151.0,5231700
2021-03-31,155.0,155.0,146.0,152.0,152.0,2707600
2021-04-01,152.0,154.0,149.0,154.0,154.0,1625600
2021-04-05,146.0,157.0,146.0,156.0,156.0,2033000
2021-04-06,156.0,157.0,149.0,155.0,155.0,1735900
2021-04-07,155.0,156.0,149.0,156.0,156.0,2992100
2021-04-08,156.0,156.0,152.0,156.0,156.0,783100
2021-04-09,156.0,158.0,155.0,157.0,157.0,1345500
2021-04-12,158.0,158.0,151.0,151.0,151.0,2101600
2021-04-13,154.0,154.0,149.0,151.0,151.0,532600
2021-04-14,151.0,153.0,150.0,151.0,151.0,1094200
